Serial Number:20506767 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Button Down","Host Connect","EOF"
2019-05-11 01:45:00,24.06,62.32,16.43, , , 
2019-05-11 02:00:00,24.02,62.08,16.33, , , 
2019-05-11 02:15:00,24.06,62.32,16.43, , , 
2019-05-11 02:30:00,24.11,62.60,16.54, , , 
2019-05-11 02:45:00,24.02,62.57,16.46, , , 
2019-05-11 03:00:00,24.11,62.84,16.61, , , 
2019-05-11 03:15:00,24.06,63.05,16.62, , , 
2019-05-11 03:30:00,24.06,62.81,16.56, , , 
2019-05-11 03:45:00,24.11,63.33,16.73, , , 
2019-05-11 04:00:00,24.06,63.30,16.68, , , 
2019-05-11 04:15:00,24.11,63.33,16.73, , , 
2019-05-11 04:30:00,24.11,63.57,16.79, , , 
2019-05-11 04:45:00,24.11,63.57,16.79, , , 
2019-05-11 05:00:00,24.11,63.82,16.85, , , 
2019-05-11 05:15:00,24.06,63.79,16.80, , , 
2019-05-11 05:30:00,24.06,64.03,16.86, , , 
2019-05-11 05:45:00,24.06,64.03,16.86, , , 
2019-05-11 06:00:00,24.11,64.30,16.97, , , 
2019-05-11 06:15:00,24.06,64.27,16.92, , , 
2019-05-11 06:30:00,24.06,64.27,16.92, , , 
2019-05-11 06:45:00,24.06,64.52,16.98, , , 
2019-05-11 07:00:00,24.11,64.55,17.03, , , 
2019-05-11 07:15:00,24.11,64.76,17.08, , , 
2019-05-11 07:30:00,24.02,64.52,16.94, , , 
2019-05-11 07:45:00,24.15,64.55,17.07, , , 
2019-05-11 08:00:00,24.11,64.76,17.08, , , 
2019-05-11 08:15:00,24.11,64.55,17.03, , , 
2019-05-11 08:30:00,24.19,65.03,17.23, , , 
2019-05-11 08:45:00,24.15,64.79,17.13, , , 
2019-05-11 09:00:00,24.24,64.55,17.15, , , 
2019-05-11 09:15:00,24.32,64.82,17.30, , , 
2019-05-11 09:30:00,24.28,64.79,17.25, , , 
2019-05-11 09:45:00,24.32,64.82,17.30, , , 
2019-05-11 10:00:00,24.28,64.55,17.19, , , 
2019-05-11 10:15:00,24.36,64.82,17.34, , , 
2019-05-11 10:30:00,24.32,64.82,17.30, , , 
2019-05-11 10:45:00,24.32,64.58,17.24, , , 
2019-05-11 11:00:00,24.41,64.58,17.32, , , 
2019-05-11 11:15:00,24.36,64.58,17.28, , , 
2019-05-11 11:30:00,24.32,64.09,17.12, , , 
2019-05-11 11:45:00,24.36,64.09,17.16, , , 
2019-05-11 12:00:00,24.36,64.33,17.22, , , 
2019-05-11 12:15:00,24.28,64.30,17.13, , , 
2019-05-11 12:30:00,24.24,64.30,17.09, , , 
2019-05-11 12:45:00,24.28,64.30,17.13, , , 
2019-05-11 13:00:00,24.24,64.06,17.03, , , 
2019-05-11 13:15:00,24.19,64.06,16.99, , , 
2019-05-11 13:30:00,24.19,64.06,16.99, , , 
2019-05-11 13:45:00,24.24,64.06,17.03, , , 
2019-05-11 14:00:00,24.24,64.30,17.09, , , 
2019-05-11 14:15:00,24.24,64.30,17.09, , , 
2019-05-11 14:30:00,24.19,64.30,17.05, , , 
2019-05-11 14:45:00,24.15,64.06,16.95, , , 
2019-05-11 15:00:00,24.19,64.06,16.99, , , 
2019-05-11 15:15:00,24.19,64.06,16.99, , , 
2019-05-11 15:30:00,24.15,64.30,17.01, , , 
2019-05-11 15:45:00,24.15,64.30,17.01, , , 
2019-05-11 16:00:00,24.11,64.30,16.97, , , 
2019-05-11 16:15:00,24.15,64.06,16.95, , , 
2019-05-11 16:30:00,24.19,64.30,17.05, , , 
2019-05-11 16:45:00,24.32,64.09,17.12, , , 
2019-05-11 17:00:00,24.32,64.09,17.12, , , 
2019-05-11 17:15:00,27.58,75.27,22.84, , , 
2019-05-11 17:30:00,29.21,68.44,22.83, , , 
2019-05-11 17:45:00,28.87,68.89,22.61, , , 
2019-05-11 18:00:00,28.05,72.04,22.57, , , 
2019-05-11 18:15:00,27.58,74.36,22.64, , , 
2019-05-11 18:30:00,27.20,76.20,22.67, , , 
2019-05-11 18:45:00,26.98,77.66,22.77, , , 
2019-05-11 19:00:00,26.72,77.63,22.52, , , 
2019-05-11 19:15:00,26.60,77.94,22.46, , , 
2019-05-11 19:30:00,26.64,78.41,22.60, , , 
2019-05-11 19:45:00,26.55,78.87,22.61, , , 
2019-05-11 20:00:00,26.51,79.42,22.68, , , 
2019-05-11 20:15:00,26.47,79.87,22.74, , , 
2019-05-11 20:30:00,26.47,79.24,22.61, , , 
2019-05-11 20:45:00,26.47,79.87,22.74, , , 
2019-05-11 21:00:00,26.38,79.82,22.64, , , 
2019-05-11 21:15:00,26.47,79.76,22.71, , , 
2019-05-11 21:30:00,26.30,80.13,22.62, , , 
2019-05-11 21:45:00,26.17,78.84,22.23, , , 
2019-05-11 22:00:00,26.08,77.37,21.84, , , 
2019-05-11 22:15:00,26.12,79.70,22.37, , , 
2019-05-11 22:30:00,26.08,78.75,22.13, , , 
2019-05-11 22:45:00,25.91,77.80,21.76, , , 
2019-05-11 23:00:00,25.95,77.45,21.73, , , 
2019-05-11 23:15:00,25.99,80.71,22.45, , , 
2019-05-11 23:30:00,25.91,81.93,22.61, , , 
2019-05-11 23:45:00,25.82,83.30,22.80, , , 
2019-05-12 00:00:00,25.74,78.64,21.77, , , 
2019-05-12 00:15:00,25.87,80.22,22.22, , , 
2019-05-12 00:30:00,25.87,81.08,22.40, , , 
2019-05-12 00:45:00,25.87,82.36,22.66, , , 
2019-05-12 01:00:00,25.82,82.50,22.64, , , 
2019-05-12 01:15:00,25.74,83.24,22.71, , , 
2019-05-12 01:30:00,25.69,83.27,22.67, , , 
2019-05-12 01:45:00,25.74,83.35,22.73, , , 
2019-05-12 02:00:00,25.78,81.45,22.39, , , 
2019-05-12 02:15:00,25.69,81.45,22.31, , , 
2019-05-12 02:30:00,25.57,81.96,22.28, , , 
2019-05-12 02:45:00,25.52,82.30,22.31, , , 
2019-05-12 03:00:00,25.52,82.42,22.33, , , 
2019-05-12 03:15:00,25.48,82.87,22.38, , , 
2019-05-12 03:30:00,25.39,83.78,22.48, , , 
2019-05-12 03:45:00,25.39,84.12,22.54, , , 
2019-05-12 04:00:00,25.39,83.30,22.38, , , 
2019-05-12 04:15:00,25.52,83.35,22.52, , , 
2019-05-12 04:30:00,25.57,82.42,22.38, , , 
2019-05-12 04:45:00,25.61,81.85,22.30, , , 
2019-05-12 05:00:00,25.61,81.85,22.30, , , 
2019-05-12 05:15:00,25.48,83.21,22.45, , , 
2019-05-12 05:30:00,25.35,82.36,22.15, , , 
2019-05-12 05:45:00,25.39,82.76,22.28, , , 
2019-05-12 06:00:00,25.52,81.96,22.24, , , 
2019-05-12 06:15:00,25.91,80.68,22.36, , , 
2019-05-12 06:30:00,26.17,80.22,22.52, , , 
2019-05-12 06:45:00,26.81,78.55,22.79, , , 
2019-05-12 07:00:00,27.58,76.38,23.08, , , 
2019-05-12 07:15:00,27.93,74.92,23.09, , , 
2019-05-12 07:30:00,28.48,72.66,23.12, , , 
2019-05-12 07:45:00,28.65,73.28,23.43, , , 
2019-05-12 08:00:00,29.86,69.48,23.69, , , 
2019-05-12 08:15:00,30.97,65.70,23.82, , , 
2019-05-12 08:30:00,33.20,61.31,24.77, , , 
2019-05-12 08:45:00,34.45,57.20,24.77, , , 
2019-05-12 09:00:00,35.99,53.25,25.00, , , 
2019-05-12 09:15:00,37.62,50.02,25.45, , , 
2019-05-12 09:30:00,38.26,47.72,25.24, , , 
2019-05-12 09:45:00,38.35,46.72,24.96, , , 
2019-05-12 10:00:00,38.69,46.24,25.10, , , 
2019-05-12 10:15:00,38.82,46.24,25.22, , , 
2019-05-12 10:30:00,38.52,46.46,25.03, , , 
2019-05-12 10:45:00,38.22,46.11,24.62, , , 
2019-05-12 11:00:00,38.14,45.56,24.35, , , 
2019-05-12 11:15:00,38.65,44.07,24.26, , , 
2019-05-12 11:30:00,38.56,45.66,24.77, , , 
2019-05-12 11:45:00,39.85,43.03,24.93, , , 
2019-05-12 12:00:00,38.99,44.04,24.55, , , 
2019-05-12 12:15:00,39.08,44.59,24.84, , , 
2019-05-12 12:30:00,39.08,44.04,24.63, , , 
2019-05-12 12:45:00,38.65,44.33,24.35, , , 
2019-05-12 13:00:00,40.02,41.96,24.66, , , 
2019-05-12 13:15:00,40.54,42.58,25.37, , , 
2019-05-12 13:30:00,40.24,42.05,24.89, , , 
2019-05-12 13:45:00,40.54,41.79,25.06, , , 
2019-05-12 14:00:00,39.68,42.80,24.69, , , 
2019-05-12 14:15:00,39.64,43.32,24.86, , , 
2019-05-12 14:30:00,40.02,42.28,24.79, , , 
2019-05-12 14:45:00,39.94,41.69,24.48, , , 
2019-05-12 15:00:00,39.64,41.63,24.19, , , 
2019-05-12 15:15:00,38.65,44.01,24.23, , , 
2019-05-12 15:30:00,38.35,45.04,24.35, , , 
2019-05-12 15:45:00,37.66,46.37,24.21, , , 
2019-05-12 16:00:00,35.65,50.08,23.66, , , 
2019-05-12 16:15:00,34.92,51.83,23.56, , , 
2019-05-12 16:30:00,35.05,51.86,23.69, , , 
2019-05-12 16:45:00,34.02,53.76,23.34, , , 
2019-05-12 17:00:00,32.69,57.42,23.20, , , 
2019-05-12 17:15:00,31.83,59.86,23.09, , , 
2019-05-12 17:30:00,30.97,61.98,22.86, , , 
2019-05-12 17:45:00,30.11,64.06,22.59, , , 
2019-05-12 18:00:00,29.47,66.42,22.58, , , 
2019-05-12 18:15:00,28.91,68.50,22.56, , , 
2019-05-12 18:30:00,28.35,71.09,22.64, , , 
2019-05-12 18:45:00,27.88,73.42,22.72, , , 
2019-05-12 19:00:00,27.50,73.34,22.32, , , 
2019-05-12 19:15:00,27.20,74.42,22.28, , , 
2019-05-12 19:30:00,27.07,74.80,22.24, , , 
2019-05-12 19:45:00,26.94,74.19,21.98, , , 
2019-05-12 20:00:00,26.85,75.30,22.14, , , 
2019-05-12 20:15:00,26.98,78.55,22.96, , , 
2019-05-12 20:30:00,27.07,78.44,23.02, , , 
2019-05-12 20:45:00,27.02,77.97,22.88, , , 
2019-05-12 21:00:00,26.98,77.54,22.75, , , 
2019-05-12 21:15:00,26.90,77.19,22.59, , , 
2019-05-12 21:30:00,26.72,77.97,22.59, , , 
2019-05-12 21:45:00,26.68,78.41,22.64, , , 
2019-05-12 22:00:00,26.64,78.52,22.62, , , 
2019-05-12 22:15:00,26.51,78.03,22.39, , , 
2019-05-12 22:30:00,26.42,78.44,22.40, , , 
2019-05-12 22:45:00,26.42,78.49,22.41, , , 
2019-05-12 23:00:00,26.42,78.49,22.41, , , 
2019-05-12 23:15:00,26.42,78.32,22.37, , , 
2019-05-12 23:30:00,26.38,78.93,22.46, , , 
2019-05-12 23:45:00,26.34,80.25,22.69, , , 
2019-05-13 00:00:00,26.25,80.31,22.62, , , 
2019-05-13 00:15:00,26.21,80.22,22.56, , , 
2019-05-13 00:30:00,26.17,80.68,22.61, , , 
2019-05-13 00:45:00,26.17,80.62,22.60, , , 
2019-05-13 01:00:00,26.17,80.56,22.59, , , 
2019-05-13 01:15:00,26.12,80.68,22.57, , , 
2019-05-13 01:30:00,26.08,81.02,22.60, , , 
2019-05-13 01:45:00,25.99,80.71,22.45, , , 
2019-05-13 02:00:00,25.99,81.16,22.54, , , 
2019-05-13 02:15:00,25.99,80.65,22.44, , , 
2019-05-13 02:30:00,25.95,80.99,22.47, , , 
2019-05-13 02:45:00,25.91,81.48,22.52, , , 
2019-05-13 03:00:00,25.95,81.51,22.57, , , 
2019-05-13 03:15:00,26.04,81.45,22.64, , , 
2019-05-13 03:30:00,25.95,81.45,22.56, , , 
2019-05-13 03:45:00,25.91,81.42,22.51, , , 
2019-05-13 04:00:00,25.91,82.39,22.71, , , 
2019-05-13 04:15:00,25.99,82.87,22.89, , , 
2019-05-13 04:30:00,26.04,81.51,22.65, , , 
2019-05-13 04:45:00,26.04,81.56,22.66, , , 
2019-05-13 05:00:00,26.04,81.05,22.56, , , 
2019-05-13 05:15:00,26.08,81.65,22.72, , , 
2019-05-13 05:30:00,26.12,82.56,22.95, , , 
2019-05-13 05:45:00,26.12,81.02,22.64, , , 
2019-05-13 06:00:00,26.08,81.48,22.69, , , 
2019-05-13 06:15:00,26.34,80.13,22.67, , , 
2019-05-13 06:30:00,26.60,79.39,22.76, , , 
2019-05-13 06:45:00,27.11,76.64,22.68, , , 
2019-05-13 07:00:00,27.67,74.80,22.82, , , 
2019-05-13 07:15:00,27.93,74.54,23.01, , , 
2019-05-13 07:30:00,28.23,73.07,22.97, , , 
2019-05-13 07:45:00,28.78,71.83,23.22, , , 
2019-05-13 08:00:00,29.34,70.05,23.34, , , 
2019-05-13 08:15:00,29.43,69.45,23.28, , , 
2019-05-13 08:30:00,30.11,66.54,23.22, , , 
2019-05-13 08:45:00,30.80,64.91,23.46, , , 
2019-05-13 09:00:00,31.79,62.35,23.72, , , 
2019-05-13 09:15:00,32.73,60.23,24.04, , , 
2019-05-13 09:30:00,32.73,59.49,23.83, , , 
2019-05-13 09:45:00,32.99,58.97,23.92, , , 
2019-05-13 10:00:00,33.59,56.79,23.86, , , 
2019-05-13 10:15:00,34.23,56.14,24.26, , , 
2019-05-13 10:30:00,34.96,54.42,24.42, , , 
2019-05-13 10:45:00,34.88,54.67,24.41, , , 
2019-05-13 11:00:00,37.32,49.99,25.16, , , 
2019-05-13 11:15:00,38.91,46.17,25.27, , , 
2019-05-13 11:30:00,37.71,48.77,25.10, , , 
2019-05-13 11:45:00,37.15,49.16,24.72, , , 
2019-05-13 12:00:00,36.16,50.43,24.25, , , 
2019-05-13 12:15:00,37.06,48.10,24.28, , , 
2019-05-13 12:30:00,35.52,50.88,23.81, , , 
2019-05-13 12:45:00,37.92,45.53,24.14, , , 
2019-05-13 13:00:00,36.33,48.33,23.70, , , 
2019-05-13 13:15:00,34.75,51.23,23.21, , , 
2019-05-13 13:30:00,34.92,51.04,23.31, , , 
2019-05-13 13:45:00,36.03,49.83,23.93, , , 
2019-05-13 14:00:00,35.95,50.15,23.96, , , 
2019-05-13 14:15:00,36.85,47.01,23.70, , , 
2019-05-13 14:30:00,38.35,45.85,24.65, , , 
2019-05-13 14:45:00,37.49,44.69,23.44, , , 
2019-05-13 15:00:00,35.52,47.97,22.83, , , 
2019-05-13 15:15:00,34.27,51.48,22.86, , , 
2019-05-13 15:30:00,33.93,51.64,22.60, , , 
2019-05-13 15:45:00,33.89,53.25,23.06, , , 
2019-05-13 16:00:00,32.77,54.35,22.37, , , 
2019-05-13 16:15:00,32.22,56.33,22.44, , , 
2019-05-13 16:30:00,31.57,58.26,22.40, , , 
2019-05-13 16:45:00,31.19,59.74,22.45, , , 
2019-05-13 17:00:00,31.10,59.74,22.37, , , 
2019-05-13 17:15:00,31.14,59.25,22.27, , , 
2019-05-13 17:30:00,30.59,60.66,22.14, , , 
2019-05-13 17:45:00,29.68,64.00,22.17, , , 
2019-05-13 18:00:00,28.74,66.30,21.86, , , 
2019-05-13 18:15:00,28.14,68.68,21.86, , , 
2019-05-13 18:30:00,27.67,70.11,21.75, , , 
2019-05-13 18:45:00,27.28,71.86,21.78, , , 
2019-05-13 19:00:00,26.94,73.78,21.89, , , 
2019-05-13 19:15:00,26.68,74.80,21.86, , , 
2019-05-13 19:30:00,26.55,75.24,21.84, , , 
2019-05-13 19:45:00,26.51,75.18,21.78, , , 
2019-05-13 20:00:00,26.38,75.97,21.83, , , 
2019-05-13 20:15:00,26.25,75.94,21.70, , , 
2019-05-13 20:30:00,26.21,77.05,21.89, , , 
2019-05-13 20:45:00,26.17,77.92,22.04, , , 
2019-05-13 21:00:00,26.21,77.97,22.09, , , 
2019-05-13 21:15:00,26.21,78.26,22.15, , , 
2019-05-13 21:30:00,26.25,78.26,22.19, , , 
2019-05-13 21:45:00,26.25,77.92,22.12, , , 
2019-05-13 22:00:00,26.25,77.80,22.10, , , 
2019-05-13 22:15:00,26.25,77.51,22.03, , , 
2019-05-13 22:30:00,26.30,77.37,22.04, , , 
2019-05-13 22:45:00,26.25,77.97,22.13, , , 
2019-05-13 23:00:00,26.25,77.86,22.11, , , 
2019-05-13 23:15:00,26.21,78.44,22.19, , , 
2019-05-13 23:30:00,26.17,78.38,22.13, , , 
2019-05-13 23:45:00,26.17,78.38,22.13, , , 
2019-05-14 00:00:00,26.21,78.78,22.26, , , 
2019-05-14 00:15:00,26.08,79.16,22.21, , , 
2019-05-14 00:30:00,25.91,79.30,22.08, , , 
2019-05-14 00:45:00,25.82,79.62,22.06, , , 
2019-05-14 01:00:00,25.91,81.02,22.43, , , 
2019-05-14 01:15:00,25.82,81.08,22.36, , , 
2019-05-14 01:30:00,25.74,81.39,22.34, , , 
2019-05-14 01:45:00,25.74,81.05,22.27, , , 
2019-05-14 02:00:00,25.74,80.99,22.26, , , 
2019-05-14 02:15:00,25.65,80.96,22.17, , , 
2019-05-14 02:30:00,25.61,81.88,22.31, , , 
2019-05-14 02:45:00,25.65,81.53,22.28, , , 
2019-05-14 03:00:00,25.69,81.56,22.33, , , 
2019-05-14 03:15:00,25.78,81.45,22.39, , , 
2019-05-14 03:30:00,25.87,81.42,22.47, , , 
2019-05-14 03:45:00,25.87,80.96,22.38, , , 
2019-05-14 04:00:00,25.78,80.53,22.20, , , 
2019-05-14 04:15:00,25.65,81.53,22.28, , , 
2019-05-14 04:30:00,25.74,81.99,22.46, , , 
2019-05-14 04:45:00,25.65,81.99,22.37, , , 
2019-05-14 05:00:00,25.61,81.99,22.33, , , 
2019-05-14 05:15:00,25.57,81.36,22.16, , , 
2019-05-14 05:30:00,25.57,81.99,22.29, , , 
2019-05-14 05:45:00,25.65,81.85,22.35, , , 
2019-05-14 06:00:00,25.69,81.56,22.33, , , 
2019-05-14 06:15:00,26.04,80.13,22.37, , , 
2019-05-14 06:30:00,26.51,78.95,22.59, , , 
2019-05-14 06:45:00,27.07,77.22,22.76, , , 
2019-05-14 07:00:00,28.18,73.95,23.12, , , 
2019-05-14 07:15:00,28.65,71.24,22.96, , , 
2019-05-14 07:30:00,30.20,67.69,23.59, , , 
2019-05-14 07:45:00,31.44,63.30,23.65, , , 
2019-05-14 08:00:00,31.92,61.86,23.71, , , 
2019-05-14 08:15:00,32.64,60.48,24.02, , , 
2019-05-14 08:30:00,33.93,56.36,24.05, , , 
2019-05-14 08:45:00,32.47,59.40,23.56, , , 
2019-05-14 09:00:00,34.32,55.36,24.11, , , 
2019-05-14 09:15:00,35.86,51.35,24.28, , , 
2019-05-14 09:30:00,36.63,50.50,24.70, , , 
2019-05-14 09:45:00,37.66,48.42,24.94, , , 
2019-05-14 10:00:00,37.49,46.62,24.15, , , 
2019-05-14 10:15:00,37.19,48.10,24.40, , , 
2019-05-14 10:30:00,37.06,48.10,24.28, , , 
2019-05-14 10:45:00,38.05,47.20,24.86, , , 
2019-05-14 11:00:00,39.17,44.59,24.91, , , 
2019-05-14 11:15:00,39.04,44.04,24.59, , , 
2019-05-14 11:30:00,38.22,45.30,24.33, , , 
2019-05-14 11:45:00,38.31,45.66,24.54, , , 
2019-05-14 12:00:00,39.47,42.15,24.24, , , 
2019-05-14 12:15:00,40.41,39.89,24.16, , , 
2019-05-14 12:30:00,40.92,40.48,24.87, , , 
2019-05-14 12:45:00,41.87,39.50,25.29, , , 
2019-05-14 13:00:00,42.43,37.59,24.95, , , 
2019-05-14 13:15:00,42.60,37.06,24.86, , , 
2019-05-14 13:30:00,43.11,35.93,24.79, , , 
2019-05-14 13:45:00,42.85,37.09,25.10, , , 
2019-05-14 14:00:00,41.83,36.92,24.12, , , 
2019-05-14 14:15:00,40.92,38.05,23.83, , , 
2019-05-14 14:30:00,39.81,39.53,23.48, , , 
2019-05-14 14:45:00,38.31,43.65,23.79, , , 
2019-05-14 15:00:00,37.49,43.94,23.16, , , 
2019-05-14 15:15:00,36.08,47.97,23.34, , , 
2019-05-14 15:30:00,35.52,48.49,23.01, , , 
2019-05-14 15:45:00,35.65,48.45,23.11, , , 
2019-05-14 16:00:00,34.45,50.97,22.85, , , 
2019-05-14 16:15:00,33.72,51.10,22.23, , , 
2019-05-14 16:30:00,32.82,55.14,22.65, , , 
2019-05-14 16:45:00,32.90,54.67,22.59, , , 
2019-05-14 17:00:00,31.96,57.29,22.48, , , 
2019-05-14 17:15:00,31.06,60.48,22.53, , , 
2019-05-14 17:30:00,29.98,63.30,22.27, , , 
2019-05-14 17:45:00,29.30,65.67,22.23, , , 
2019-05-14 18:00:00,28.78,67.51,22.19, , , 
2019-05-14 18:15:00,28.35,69.27,22.21, , , 
2019-05-14 18:30:00,27.84,71.18,22.16, , , 
2019-05-14 18:45:00,27.50,71.95,22.01, , , 
2019-05-14 19:00:00,27.28,72.42,21.91, , , 
2019-05-14 19:15:00,27.02,72.48,21.68, , , 
2019-05-14 19:30:00,26.81,73.83,21.78, , , 
2019-05-14 19:45:00,26.72,74.74,21.89, , , 
2019-05-14 20:00:00,26.60,75.24,21.88, , , 
2019-05-14 20:15:00,26.60,76.06,22.06, , , 
2019-05-14 20:30:00,26.60,76.17,22.08, , , 
2019-05-14 20:45:00,26.51,75.59,21.87, , , 
2019-05-14 21:00:00,26.42,75.68,21.81, , , 
2019-05-14 21:15:00,26.38,76.44,21.93, , , 
2019-05-14 21:30:00,26.25,76.58,21.84, , , 
2019-05-14 21:45:00,26.21,77.45,21.98, , , 
2019-05-14 22:00:00,26.25,77.51,22.03, , , 
2019-05-14 22:15:00,26.25,77.45,22.02, , , 
2019-05-14 22:30:00,26.21,77.86,22.07, , , 
2019-05-14 22:45:00,26.21,78.32,22.16, , , 
2019-05-14 23:00:00,26.25,77.92,22.12, , , 
2019-05-14 23:15:00,26.25,78.32,22.20, , , 
2019-05-14 23:30:00,26.21,78.78,22.26, , , 
2019-05-14 23:45:00,26.17,78.90,22.24, , , 
2019-05-15 00:00:00,26.08,78.41,22.06, , , 
2019-05-15 00:15:00,25.95,79.19,22.09, , , 
2019-05-15 00:30:00,25.87,80.10,22.20, , , 
2019-05-15 00:45:00,25.78,80.02,22.10, , , 
2019-05-15 01:00:00,25.78,80.08,22.11, , , 
2019-05-15 01:15:00,25.74,79.67,21.99, , , 
2019-05-15 01:30:00,25.78,79.73,22.04, , , 
2019-05-15 01:45:00,25.82,79.16,21.96, , , 
2019-05-15 02:00:00,25.74,78.70,21.78, , , 
2019-05-15 02:15:00,25.57,79.59,21.80, , , 
2019-05-15 02:30:00,25.48,79.96,21.79, , , 
2019-05-15 02:45:00,25.48,80.42,21.89, , , 
2019-05-15 03:00:00,25.35,80.91,21.86, , , 
2019-05-15 03:15:00,25.31,81.91,22.02, , , 
2019-05-15 03:30:00,25.27,81.93,21.99, , , 
2019-05-15 03:45:00,25.27,80.99,21.80, , , 
2019-05-15 04:00:00,25.27,81.39,21.88, , , 
2019-05-15 04:15:00,25.18,81.91,21.90, , , 
2019-05-15 04:30:00,25.05,82.30,21.85, , , 
2019-05-15 04:45:00,25.14,82.79,22.03, , , 
2019-05-15 05:00:00,25.31,82.73,22.19, , , 
2019-05-15 05:15:00,25.31,82.36,22.11, , , 
2019-05-15 05:30:00,25.27,82.27,22.05, , , 
2019-05-15 05:45:00,25.27,83.30,22.26, , , 
2019-05-15 06:00:00,25.39,81.36,22.00, , , 
2019-05-15 06:15:00,25.87,79.13,22.00, , , 
2019-05-15 06:30:00,26.72,76.96,22.37, , , 
2019-05-15 06:45:00,27.32,74.28,22.37, , , 
2019-05-15 07:00:00,27.71,73.01,22.46, , , 
2019-05-15 07:15:00,29.60,68.02,23.09, , , 
2019-05-15 07:30:00,30.07,66.27,23.11, , , 
2019-05-15 07:45:00,30.16,66.30,23.20, , , 
2019-05-15 08:00:00,31.70,62.84,23.77, , , 
2019-05-15 08:15:00,34.15,57.67,24.63, , , 
2019-05-15 08:30:00,35.60,52.68,24.47, , , 
2019-05-15 08:45:00,34.53,53.03,23.59, , , 
2019-05-15 09:00:00,36.51,51.01,24.75, , , 
2019-05-15 09:15:00,38.78,46.69,25.34, , , 
2019-05-15 09:30:00,39.72,42.51,24.61, , , 
2019-05-15 09:45:00,39.04,43.75,24.48, , , 
2019-05-15 10:00:00,38.86,44.56,24.63, , , 
2019-05-15 10:15:00,41.31,40.19,25.09, , , 
2019-05-15 10:30:00,41.65,37.75,24.34, , , 
2019-05-15 10:45:00,40.50,41.30,24.82, , , 
2019-05-15 11:00:00,38.74,44.62,24.54, , , 
2019-05-15 11:15:00,41.48,38.54,24.54, , , 
2019-05-15 11:30:00,42.00,37.49,24.52, , , 
2019-05-15 11:45:00,42.51,37.25,24.87, , , 
2019-05-15 12:00:00,41.78,37.82,24.48, , , 
2019-05-15 12:15:00,40.84,38.28,23.85, , , 
2019-05-15 12:30:00,40.07,39.83,23.83, , , 
2019-05-15 12:45:00,40.92,39.04,24.26, , , 
2019-05-15 13:00:00,39.21,43.03,24.36, , , 
2019-05-15 13:15:00,38.61,43.68,24.07, , , 
2019-05-15 13:30:00,40.07,40.94,24.29, , , 
2019-05-15 13:45:00,42.30,38.15,25.08, , , 
2019-05-15 14:00:00,42.73,37.62,25.23, , , 
2019-05-15 14:15:00,41.22,39.40,24.68, , , 
