Serial Number:20506765 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Host Connect","Button Down","EOF"
2019-09-24 13:55:56,102.57,48.68,79.58, , , 
2019-09-24 14:10:56,106.67,46.01,81.57, , , 
2019-09-24 14:25:56,107.59,43.62,80.76, , , 
2019-09-24 14:40:56,107.29,42.48,79.67, , , 
2019-09-24 14:55:56,103.66,45.82,78.72, , , 
2019-09-24 15:10:56,103.81,46.11,79.05, , , 
2019-09-24 15:25:56,100.95,47.72,77.50, , , 
2019-09-24 15:40:56,96.40,53.50,76.79, , , 
2019-09-24 15:55:56,92.30,59.83,76.37, , , 
2019-09-24 16:10:56,89.29,65.09,76.07, , , 
2019-09-24 16:25:56,87.83,67.18,75.62, , , 
2019-09-24 16:40:56,85.90,71.12,75.50, , , 
2019-09-24 16:55:56,85.05,73.92,75.84, , , 
2019-09-24 17:10:56,82.03,75.36,73.52, , , 
2019-09-24 17:25:56,80.57,78.49,73.31, , , 
2019-09-24 17:40:56,79.49,80.73,73.10, , , 
2019-09-24 17:55:56,78.87,81.56,72.80, , , 
2019-09-24 18:10:56,78.56,82.96,73.00, , , 
2019-09-24 18:25:56,78.79,83.33,73.36, , , 
2019-09-24 18:40:56,79.10,82.56,73.38, , , 
2019-09-24 18:55:56,79.02,82.90,73.43, , , 
2019-09-24 19:10:56,78.95,84.23,73.83, , , 
2019-09-24 19:25:56,78.40,83.41,73.01, , , 
2019-09-24 19:40:56,78.10,84.14,72.97, , , 
2019-09-24 19:55:56,77.71,83.21,72.26, , , 
2019-09-24 20:10:56,77.56,82.70,71.93, , , 
2019-09-24 20:25:56,77.40,83.61,72.10, , , 
2019-09-24 20:40:56,77.71,84.20,72.61, , , 
2019-09-24 20:55:56,77.79,84.23,72.70, , , 
2019-09-24 21:10:56,77.79,84.20,72.69, , , 
2019-09-24 21:25:56,77.86,84.23,72.77, , , 
2019-09-24 21:40:56,77.86,85.10,73.08, , , 
2019-09-24 21:55:56,77.94,85.50,73.29, , , 
2019-09-24 22:10:56,78.33,86.09,73.88, , , 
2019-09-24 22:25:56,78.33,85.97,73.84, , , 
2019-09-24 22:40:56,78.33,86.90,74.16, , , 
2019-09-24 22:55:56,78.33,87.34,74.31, , , 
2019-09-24 23:10:56,78.48,87.43,74.49, , , 
2019-09-24 23:25:56,78.48,88.23,74.76, , , 
2019-09-24 23:40:56,78.33,87.45,74.35, , , 
2019-09-24 23:55:56,78.33,88.76,74.79, , , 
2019-09-25 00:10:56,78.33,86.56,74.04, , , 
2019-09-25 00:25:56,78.25,86.42,73.92, , , 
2019-09-25 00:40:56,78.33,85.07,73.52, , , 
2019-09-25 00:55:56,78.33,83.72,73.05, , , 
2019-09-25 01:10:56,78.25,83.24,72.80, , , 
2019-09-25 01:25:56,78.25,82.93,72.69, , , 
2019-09-25 01:40:56,78.25,81.45,72.15, , , 
2019-09-25 01:55:56,78.56,82.39,72.79, , , 
2019-09-25 02:10:56,78.79,82.53,73.07, , , 
2019-09-25 02:25:56,79.02,81.48,72.92, , , 
2019-09-25 02:40:56,79.49,82.05,73.58, , , 
2019-09-25 02:55:56,79.64,80.79,73.27, , , 
2019-09-25 03:10:56,79.64,79.87,72.93, , , 
2019-09-25 03:25:56,79.87,78.52,72.65, , , 
2019-09-25 03:40:56,80.03,81.19,73.79, , , 
2019-09-25 03:55:56,80.18,83.01,74.61, , , 
2019-09-25 04:10:56,80.10,83.61,74.74, , , 
2019-09-25 04:25:56,79.95,84.03,74.74, , , 
2019-09-25 04:40:56,79.87,83.58,74.51, , , 
2019-09-25 04:55:56,79.79,83.89,74.54, , , 
2019-09-25 05:10:56,79.79,82.08,73.89, , , 
2019-09-25 05:25:56,79.95,84.03,74.74, , , 
2019-09-25 05:40:56,79.95,82.67,74.26, , , 
2019-09-25 05:55:56,79.87,83.44,74.46, , , 
2019-09-25 06:10:56,79.64,82.98,74.07, , , 
2019-09-25 06:25:56,79.95,82.67,74.26, , , 
2019-09-25 06:40:56,80.57,81.65,74.49, , , 
2019-09-25 06:55:56,81.65,80.45,75.10, , , 
2019-09-25 07:10:56,83.81,78.38,76.41, , , 
2019-09-25 07:25:56,88.29,72.63,78.43, , , 
2019-09-25 07:40:56,90.91,64.76,77.45, , , 
2019-09-25 07:55:56,93.39,61.46,78.19, , , 
2019-09-25 08:10:56,96.09,57.60,78.75, , , 
2019-09-25 08:25:56,98.17,55.20,79.39, , , 
2019-09-25 08:40:56,100.80,53.82,81.04, , , 
2019-09-25 08:55:56,101.26,50.72,79.64, , , 
2019-09-25 09:10:56,103.66,47.91,80.08, , , 
2019-09-25 09:25:56,105.59,46.69,81.04, , , 
2019-09-25 09:40:56,105.90,46.43,81.15, , , 
2019-09-25 09:55:56,106.36,45.46,80.92, , , 
2019-09-25 10:10:56,106.51,46.01,81.43, , , 
2019-09-25 10:25:56,105.20,46.72,80.71, , , 
2019-09-25 10:40:56,102.11,49.19,79.48, , , 
2019-09-25 10:55:56,92.00,58.53,75.42, , , 
2019-09-25 11:10:56,86.67,65.61,73.82, , , 
2019-09-25 11:25:56,84.74,71.42,74.51, , , 
2019-09-25 11:40:56,83.27,68.29,71.77, , , 
2019-09-25 11:55:56,83.66,66.54,71.38, , , 
2019-09-25 12:10:56,84.43,67.42,72.50, , , 
2019-09-25 12:25:56,86.05,68.08,74.33, , , 
2019-09-25 12:40:56,88.68,63.54,74.76, , , 
2019-09-25 12:55:56,90.53,61.71,75.63, , , 
2019-09-25 13:10:56,93.23,58.87,76.74, , , 
2019-09-25 13:25:56,101.57,48.01,78.25, , , 
2019-09-25 13:40:56,102.19,47.52,78.50, , , 
2019-09-25 13:55:56,103.66,44.69,77.96, , , 
2019-09-25 14:10:56,105.97,43.49,79.21, , , 
2019-09-25 14:25:56,106.82,42.97,79.60, , , 
2019-09-25 14:40:56,107.44,42.80,80.04, , , 
2019-09-25 14:55:56,107.67,40.32,78.42, , , 
2019-09-25 15:10:56,110.61,39.86,80.67, , , 
2019-09-25 15:25:56,106.28,41.83,78.30, , , 
2019-09-25 15:40:56,100.49,48.01,77.26, , , 
2019-09-25 15:55:56,97.40,51.16,76.37, , , 
2019-09-25 16:10:56,96.32,53.22,76.56, , , 
2019-09-25 16:25:56,93.93,56.14,75.96, , , 
2019-09-25 16:40:56,92.54,57.54,75.41, , , 
2019-09-25 16:55:56,90.99,60.51,75.47, , , 
2019-09-25 17:10:56,89.45,63.12,75.29, , , 
2019-09-25 17:25:56,87.90,65.46,74.92, , , 
2019-09-25 17:40:56,86.28,68.53,74.75, , , 
2019-09-25 17:55:56,85.12,69.87,74.23, , , 
2019-09-25 18:10:56,84.20,71.33,73.96, , , 
2019-09-25 18:25:56,83.19,70.73,72.74, , , 
2019-09-25 18:40:56,82.50,72.95,73.00, , , 
2019-09-25 18:55:56,81.96,73.98,72.89, , , 
2019-09-25 19:10:56,81.73,75.80,73.39, , , 
2019-09-25 19:25:56,81.42,76.29,73.28, , , 
2019-09-25 19:40:56,81.18,77.22,73.42, , , 
2019-09-25 19:55:56,80.95,78.98,73.87, , , 
2019-09-25 20:10:56,80.88,79.85,74.12, , , 
2019-09-25 20:25:56,80.88,80.48,74.35, , , 
2019-09-25 20:40:56,80.72,81.33,74.52, , , 
2019-09-25 20:55:56,80.57,81.76,74.53, , , 
2019-09-25 21:10:56,80.49,82.70,74.79, , , 
2019-09-25 21:25:56,80.41,83.52,75.02, , , 
2019-09-25 21:40:56,80.34,84.06,75.13, , , 
2019-09-25 21:55:56,80.49,85.02,75.62, , , 
2019-09-25 22:10:56,80.57,85.36,75.82, , , 
2019-09-25 22:25:56,80.49,85.47,75.78, , , 
2019-09-25 22:40:56,80.72,85.83,76.14, , , 
2019-09-25 22:55:56,81.03,85.41,76.29, , , 
2019-09-25 23:10:56,81.42,85.58,76.73, , , 
2019-09-25 23:25:56,81.88,84.71,76.88, , , 
2019-09-25 23:40:56,81.96,83.69,76.59, , , 
2019-09-25 23:55:56,81.49,83.66,76.12, , , 
2019-09-26 00:10:56,81.18,84.06,75.96, , , 
2019-09-26 00:25:56,80.88,84.14,75.69, , , 
2019-09-26 00:40:56,80.57,83.64,75.21, , , 
2019-09-26 00:55:56,80.26,83.98,75.03, , , 
2019-09-26 01:10:56,80.03,84.51,74.99, , , 
2019-09-26 01:25:56,79.79,84.82,74.87, , , 
2019-09-26 01:40:56,79.41,85.75,74.82, , , 
2019-09-26 01:55:56,79.25,86.23,74.83, , , 
2019-09-26 02:10:56,79.18,86.53,74.87, , , 
2019-09-26 02:25:56,79.18,86.98,75.02, , , 
2019-09-26 02:40:56,79.10,86.20,74.67, , , 
2019-09-26 02:55:56,79.02,86.64,74.75, , , 
2019-09-26 03:10:56,78.87,86.03,74.39, , , 
2019-09-26 03:25:56,78.95,86.50,74.63, , , 
2019-09-26 03:40:56,78.95,86.50,74.63, , , 
2019-09-26 03:55:56,78.95,86.92,74.77, , , 
2019-09-26 04:10:56,78.87,86.50,74.55, , , 
2019-09-26 04:25:56,78.95,86.48,74.62, , , 
2019-09-26 04:40:56,78.87,86.95,74.71, , , 
2019-09-26 04:55:56,79.10,87.87,75.25, , , 
2019-09-26 05:10:56,79.49,87.04,75.34, , , 
2019-09-26 05:25:56,79.49,86.70,75.23, , , 
2019-09-26 05:40:56,79.49,86.70,75.23, , , 
2019-09-26 05:55:56,79.41,87.15,75.31, , , 
2019-09-26 06:10:56,79.33,87.12,75.22, , , 
2019-09-26 06:25:56,80.18,87.12,76.06, , , 
2019-09-26 06:40:56,83.27,82.47,77.43, , , 
2019-09-26 06:55:56,87.90,74.51,78.84, , , 
2019-09-26 07:10:56,91.38,67.78,79.28, , , 
2019-09-26 07:25:56,93.46,62.99,79.02, , , 
2019-09-26 07:40:56,95.47,59.09,78.95, , , 
2019-09-26 07:55:56,98.40,57.04,80.61, , , 
2019-09-26 08:10:56,101.18,53.09,80.97, , , 
2019-09-26 08:25:56,103.19,51.32,81.77, , , 
2019-09-26 08:40:56,103.35,49.80,80.99, , , 
2019-09-26 08:55:56,105.35,48.55,82.03, , , 
2019-09-26 09:10:56,107.36,44.72,81.32, , , 
2019-09-26 09:25:56,109.99,44.04,83.20, , , 
2019-09-26 09:40:56,112.38,41.43,83.45, , , 
2019-09-26 09:55:56,110.14,41.76,81.69, , , 
2019-09-26 10:10:56,103.35,55.07,84.11, , , 
2019-09-26 10:25:56,104.58,46.62,80.09, , , 
2019-09-26 10:40:56,107.98,44.95,82.03, , , 
2019-09-26 10:55:56,109.83,43.94,82.99, , , 
2019-09-26 11:10:56,110.68,43.52,83.46, , , 
2019-09-26 11:25:56,112.92,40.84,83.48, , , 
2019-09-26 11:40:56,113.69,38.71,82.50, , , 
2019-09-26 11:55:56,115.32,37.68,83.10, , , 
2019-09-26 12:10:56,115.55,37.98,83.54, , , 
2019-09-26 12:25:56,114.93,39.89,84.53, , , 
2019-09-26 12:40:56,116.17,38.54,84.55, , , 
2019-09-26 12:55:56,116.09,36.82,83.06, , , 
2019-09-26 13:10:56,114.85,37.16,82.25, , , 
2019-09-26 13:25:56,114.24,36.72,81.35, , , 
2019-09-26 13:40:56,111.61,37.82,79.94, , , 
2019-09-26 13:55:56,111.84,39.76,81.69, , , 
2019-09-26 14:10:56,112.38,39.20,81.73, , , 
2019-09-26 14:25:56,113.54,39.27,82.81, , , 
2019-09-26 14:40:56,115.63,35.79,81.77, , , 
2019-09-26 14:55:56,116.32,36.62,83.09, , , 
2019-09-26 15:10:56,114.24,37.95,82.36, , , 
2019-09-26 15:25:56,112.15,39.14,81.48, , , 
2019-09-26 15:40:56,110.99,39.70,80.89, , , 
2019-09-26 15:55:56,108.52,42.02,80.44, , , 
2019-09-26 16:10:56,106.20,42.90,79.00, , , 
2019-09-26 16:25:56,103.50,44.72,77.84, , , 
2019-09-26 16:40:56,99.33,49.99,77.43, , , 
2019-09-26 16:42:57, , , ,Logged, , 
2019-09-26 16:55:56,95.86,56.01,77.68, , , 
2019-09-26 17:10:56,93.62,57.91,76.61, , , 
2019-09-26 17:25:56,91.61,60.54,76.07, , , 
2019-09-26 17:40:56,90.30,63.45,76.25, , , 
2019-09-26 17:55:56,88.83,66.03,76.06, , , 
2019-09-26 18:10:56,87.90,66.69,75.48, , , 
2019-09-26 18:25:56,87.13,68.71,75.64, , , 
2019-09-26 18:40:56,86.51,69.72,75.49, , , 
2019-09-26 18:55:56,86.13,70.47,75.44, , , 
2019-09-26 19:10:56,85.43,71.89,75.38, , , 
2019-09-26 19:25:56,84.58,72.30,74.73, , , 
2019-09-26 19:40:56,83.81,73.72,74.57, , , 
2019-09-26 19:55:56,83.19,75.45,74.67, , , 
2019-09-26 20:10:56,82.96,76.52,74.87, , , 
2019-09-26 20:25:56,82.73,76.96,74.82, , , 
2019-09-26 20:40:56,82.42,77.39,74.69, , , 
2019-09-26 20:55:56,82.11,77.71,74.51, , , 
2019-09-26 21:10:56,81.88,78.64,74.64, , , 
2019-09-26 21:25:56,81.65,78.72,74.45, , , 
2019-09-26 21:40:56,81.49,79.16,74.46, , , 
2019-09-26 21:55:56,81.42,78.70,74.21, , , 
2019-09-26 22:10:56,81.18,79.07,74.13, , , 
2019-09-26 22:25:56,81.18,79.13,74.15, , , 
2019-09-26 22:40:56,81.11,79.59,74.25, , , 
2019-09-26 22:55:56,81.11,79.87,74.36, , , 
2019-09-26 23:10:56,81.03,79.59,74.17, , , 
2019-09-26 23:25:56,81.11,80.45,74.57, , , 
2019-09-26 23:40:56,81.03,80.51,74.52, , , 
2019-09-26 23:55:56,80.95,80.96,74.61, , , 
2019-09-27 00:10:56,80.80,81.28,74.58, , , 
2019-09-27 00:25:56,80.88,81.82,74.85, , , 
2019-09-27 00:40:56,81.18,81.45,75.02, , , 
2019-09-27 00:55:56,81.42,81.88,75.40, , , 
2019-09-27 01:10:56,81.65,81.96,75.66, , , 
2019-09-27 01:25:56,81.65,82.30,75.78, , , 
2019-09-27 01:40:56,81.73,82.39,75.89, , , 
2019-09-27 01:55:56,81.57,82.42,75.75, , , 
2019-09-27 02:10:56,81.34,82.84,75.68, , , 
2019-09-27 02:25:56,81.11,82.81,75.44, , , 
2019-09-27 02:40:56,80.80,83.21,75.28, , , 
2019-09-27 02:55:56,80.34,83.16,74.81, , , 
2019-09-27 03:10:56,80.10,83.16,74.58, , , 
2019-09-27 03:25:56,79.72,83.10,74.18, , , 
2019-09-27 03:40:56,79.49,82.47,73.73, , , 
2019-09-27 03:55:56,79.18,82.47,73.43, , , 
2019-09-27 04:10:56,79.02,82.45,73.27, , , 
2019-09-27 04:25:56,78.87,82.08,72.98, , , 
2019-09-27 04:40:56,78.79,82.53,73.07, , , 
2019-09-27 04:55:56,78.71,82.98,73.16, , , 
2019-09-27 05:10:56,78.64,83.33,73.21, , , 
2019-09-27 05:25:56,78.64,83.86,73.40, , , 
2019-09-27 05:40:56,78.64,83.78,73.37, , , 
2019-09-27 05:55:56,78.56,84.29,73.47, , , 
2019-09-27 06:10:56,78.56,84.65,73.60, , , 
2019-09-27 06:25:56,79.79,83.58,74.43, , , 
2019-09-27 06:40:56,83.81,76.99,75.87, , , 
2019-09-27 06:55:56,87.67,70.61,76.98, , , 
2019-09-27 07:10:56,90.53,66.21,77.76, , , 
2019-09-27 07:25:56,92.30,63.39,78.11, , , 
2019-09-27 07:40:56,92.92,60.42,77.24, , , 
2019-09-27 07:55:56,93.85,58.72,77.24, , , 
2019-09-27 08:10:56,95.32,58.81,78.66, , , 
2019-09-27 08:25:56,96.09,57.60,78.75, , , 
2019-09-27 08:40:56,98.64,51.77,77.86, , , 
2019-09-27 08:55:56,101.34,49.35,78.88, , , 
2019-09-27 09:10:56,102.65,46.82,78.47, , , 
2019-09-27 09:25:56,103.35,47.40,79.47, , , 
2019-09-27 09:40:56,105.59,45.66,80.35, , , 
2019-09-27 09:55:56,105.90,44.88,80.11, , , 
2019-09-27 10:10:56,107.29,42.80,79.90, , , 
2019-09-27 10:25:56,106.05,44.27,79.82, , , 
2019-09-27 10:40:56,105.82,44.27,79.61, , , 
2019-09-27 10:55:56,106.05,44.04,79.66, , , 
2019-09-27 11:10:56,104.89,45.56,79.66, , , 
2019-09-27 11:25:56,104.43,45.59,79.26, , , 
2019-09-27 11:40:56,105.59,44.85,79.81, , , 
2019-09-27 11:55:56,105.59,44.59,79.63, , , 
2019-09-27 12:10:56,102.50,47.62,78.84, , , 
2019-09-27 12:25:56,102.88,48.39,79.68, , , 
2019-09-27 12:40:56,107.36,41.92,79.33, , , 
2019-09-27 12:55:56,108.29,40.68,79.24, , , 
2019-09-27 13:10:56,104.51,44.27,78.43, , , 
2019-09-27 13:25:56,102.73,46.50,78.33, , , 
2019-09-27 13:40:56,103.42,46.53,78.98, , , 
2019-09-27 13:55:56,104.89,44.82,79.16, , , 
2019-09-27 14:10:56,106.51,41.83,78.50, , , 
2019-09-27 14:25:56,108.44,40.09,78.93, , , 
2019-09-27 14:40:56,110.99,38.87,80.24, , , 
2019-09-27 14:55:56,110.68,37.75,79.08, , , 
2019-09-27 15:10:56,111.07,36.96,78.77, , , 
2019-09-27 15:25:56,110.14,37.68,78.55, , , 
2019-09-27 15:40:56,106.90,40.78,78.08, , , 
2019-09-27 15:55:56,104.04,43.58,77.54, , , 
2019-09-27 16:10:56,101.88,45.98,77.22, , , 
2019-09-27 16:25:56,100.26,48.52,77.37, , , 
2019-09-27 16:40:56,97.32,52.24,76.93, , , 
2019-09-27 16:55:56,95.08,55.45,76.66, , , 
2019-09-27 17:10:56,92.61,58.60,76.02, , , 
2019-09-27 17:25:56,91.15,61.00,75.86, , , 
2019-09-27 17:40:56,89.52,63.12,75.36, , , 
2019-09-27 17:55:56,88.52,65.52,75.53, , , 
2019-09-27 18:10:56,87.59,67.15,75.39, , , 
2019-09-27 18:25:56,86.67,68.26,75.00, , , 
2019-09-27 18:40:56,86.13,69.57,75.06, , , 
2019-09-27 18:55:56,85.28,73.83,76.03, , , 
2019-09-27 19:10:56,84.66,73.81,75.42, , , 
2019-09-27 19:25:56,84.27,74.10,75.17, , , 
2019-09-27 19:40:56,83.96,74.22,74.92, , , 
2019-09-27 19:55:56,83.66,73.13,74.18, , , 
2019-09-27 20:10:56,83.35,73.51,74.04, , , 
2019-09-27 20:25:56,83.19,73.72,73.98, , , 
2019-09-27 20:40:56,83.12,75.07,74.44, , , 
2019-09-27 20:55:56,82.88,75.94,74.57, , , 
2019-09-27 21:10:56,82.88,76.81,74.91, , , 
2019-09-27 21:25:56,82.73,78.32,75.34, , , 
2019-09-27 21:40:56,82.81,78.26,75.39, , , 
2019-09-27 21:55:56,82.73,76.84,74.77, , , 
2019-09-27 22:10:56,82.65,76.44,74.54, , , 
2019-09-27 22:25:56,82.57,75.97,74.28, , , 
2019-09-27 22:40:56,82.42,76.47,74.32, , , 
2019-09-27 22:55:56,82.42,76.41,74.30, , , 
2019-09-27 23:10:56,82.42,76.47,74.32, , , 
2019-09-27 23:25:56,82.34,76.81,74.39, , , 
2019-09-27 23:40:56,81.88,76.81,73.94, , , 
2019-09-27 23:55:56,81.26,79.96,74.54, , , 
2019-09-28 00:10:56,81.03,80.05,74.34, , , 
2019-09-28 00:25:56,81.03,80.51,74.52, , , 
2019-09-28 00:40:56,80.95,80.79,74.55, , , 
2019-09-28 00:55:56,80.80,81.28,74.58, , , 
2019-09-28 01:10:56,80.88,80.02,74.18, , , 
2019-09-28 01:25:56,80.95,79.10,73.91, , , 
2019-09-28 01:40:56,81.18,78.67,73.97, , , 
2019-09-28 01:55:56,81.26,78.49,73.98, , , 
2019-09-28 02:10:56,81.18,78.03,73.73, , , 
2019-09-28 02:25:56,81.18,79.07,74.13, , , 
2019-09-28 02:40:56,81.11,79.59,74.25, , , 
2019-09-28 02:55:56,80.95,78.98,73.87, , , 
2019-09-28 03:10:56,80.88,79.10,73.84, , , 
2019-09-28 03:25:56,80.64,78.44,73.36, , , 
2019-09-28 03:40:56,80.41,79.33,73.47, , , 
2019-09-28 03:55:56,80.26,79.33,73.32, , , 
2019-09-28 04:10:56,80.10,79.01,73.06, , , 
2019-09-28 04:25:56,79.87,79.44,72.99, , , 
2019-09-28 04:40:56,79.56,80.33,73.02, , , 
2019-09-28 04:55:56,79.41,80.25,72.84, , , 
2019-09-28 05:10:56,79.25,80.25,72.69, , , 
2019-09-28 05:25:56,79.18,80.28,72.63, , , 
2019-09-28 05:40:56,79.10,81.13,72.87, , , 
2019-09-28 05:55:56,79.02,81.59,72.96, , , 
2019-09-28 06:10:56,79.10,81.99,73.18, , , 
2019-09-28 06:25:56,80.80,80.31,74.22, , , 
2019-09-28 06:40:56,85.28,73.45,75.88, , , 
2019-09-28 06:55:56,89.99,64.91,76.64, , , 
2019-09-28 07:10:56,91.92,61.10,76.63, , , 
2019-09-28 07:25:56,90.99,61.25,75.84, , , 
2019-09-28 07:40:56,90.76,62.47,76.22, , , 
2019-09-28 07:55:56,90.06,63.42,76.02, , , 
2019-09-28 08:10:56,90.99,62.75,76.57, , , 
2019-09-28 08:25:56,95.01,55.95,76.86, , , 
2019-09-28 08:40:56,97.71,53.06,77.75, , , 
2019-09-28 08:55:56,102.19,47.27,78.34, , , 
2019-09-28 09:10:56,103.50,45.53,78.38, , , 
2019-09-28 09:25:56,104.43,45.59,79.26, , , 
2019-09-28 09:40:56,104.43,45.27,79.05, , , 
2019-09-28 09:55:56,102.81,46.30,78.27, , , 
2019-09-28 10:10:56,102.42,46.46,78.02, , , 
2019-09-28 10:25:56,102.27,47.52,78.57, , , 
2019-09-28 10:40:56,104.51,44.46,78.57, , , 
2019-09-28 10:55:56,105.51,41.34,77.25, , , 
2019-09-28 11:10:56,106.05,42.41,78.52, , , 
2019-09-28 11:25:56,108.83,38.74,78.23, , , 
2019-09-28 11:40:56,109.06,37.85,77.73, , , 
2019-09-28 11:55:56,112.00,35.46,78.32, , , 
2019-09-28 12:10:56,112.38,35.46,78.66, , , 
2019-09-28 12:25:56,114.00,34.56,79.29, , , 
2019-09-28 12:40:56,112.00,35.03,77.95, , , 
2019-09-28 12:55:56,111.15,33.73,76.06, , , 
2019-09-28 13:10:56,114.78,32.49,78.07, , , 
2019-09-28 13:25:56,115.78,31.28,77.78, , , 
2019-09-28 13:40:56,115.39,30.54,76.72, , , 
2019-09-28 13:55:56,116.01,31.85,78.53, , , 
2019-09-28 14:10:56,115.78,32.39,78.84, , , 
2019-09-28 14:25:56,109.14,37.35,77.40, , , 
2019-09-28 14:40:56,103.73,41.50,75.79, , , 
