Serial Number:20485855 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Host Connect","EOF"
2019-06-12 03:45:00,78.87,76.90,71.05, , 
2019-06-12 04:00:00,78.79,76.52,70.83, , 
2019-06-12 04:15:00,78.79,75.53,70.45, , 
2019-06-12 04:30:00,78.64,74.54,69.91, , 
2019-06-12 04:45:00,78.64,73.63,69.55, , 
2019-06-12 05:00:00,78.56,74.45,69.80, , 
2019-06-12 05:15:00,78.40,74.51,69.68, , 
2019-06-12 05:30:00,78.48,74.63,69.80, , 
2019-06-12 05:45:00,78.71,75.07,70.19, , 
2019-06-12 06:00:00,79.18,75.47,70.80, , 
2019-06-12 06:15:00,80.10,72.92,70.68, , 
2019-06-12 06:30:00,81.18,70.08,70.55, , 
2019-06-12 06:45:00,82.65,67.69,70.92, , 
2019-06-12 07:00:00,83.12,68.44,71.69, , 
2019-06-12 07:15:00,83.58,67.03,71.52, , 
2019-06-12 07:30:00,85.43,62.99,71.44, , 
2019-06-12 07:45:00,86.74,61.37,71.90, , 
2019-06-12 08:00:00,88.21,59.77,72.50, , 
2019-06-12 08:15:00,88.06,59.00,71.97, , 
2019-06-12 08:30:00,88.44,59.77,72.72, , 
2019-06-12 08:45:00,90.99,57.70,74.05, , 
2019-06-12 09:00:00,91.84,56.48,74.20, , 
2019-06-12 09:15:00,91.22,57.70,74.26, , 
2019-06-12 09:30:00,87.44,63.70,73.66, , 
2019-06-12 09:45:00,85.20,69.45,74.12, , 
2019-06-12 10:00:00,84.97,66.91,72.79, , 
2019-06-12 10:15:00,88.37,61.77,73.62, , 
2019-06-12 10:30:00,91.07,60.51,75.55, , 
2019-06-12 10:45:00,93.31,56.08,75.35, , 
2019-06-12 11:00:00,94.93,55.48,76.53, , 
2019-06-12 11:15:00,94.47,53.85,75.21, , 
2019-06-12 11:30:00,95.47,52.87,75.58, , 
2019-06-12 11:45:00,95.78,50.53,74.50, , 
2019-06-12 12:00:00,95.62,53.66,76.17, , 
2019-06-12 12:15:00,96.63,50.85,75.47, , 
2019-06-12 12:30:00,96.47,50.91,75.37, , 
2019-06-12 12:45:00,96.32,51.86,75.78, , 
2019-06-12 13:00:00,96.32,51.42,75.52, , 
2019-06-12 13:15:00,96.94,50.69,75.66, , 
2019-06-12 13:30:00,96.09,51.61,75.42, , 
2019-06-12 13:45:00,95.86,52.15,75.52, , 
2019-06-12 14:00:00,95.01,53.88,75.72, , 
2019-06-12 14:15:00,94.70,52.84,74.85, , 
2019-06-12 14:30:00,91.45,56.95,74.09, , 
2019-06-12 14:45:00,90.22,60.17,74.58, , 
2019-06-12 15:00:00,91.22,58.72,74.79, , 
2019-06-12 15:15:00,88.52,65.03,75.31, , 
2019-06-12 15:30:00,86.51,67.30,74.43, , 
2019-06-12 15:45:00,88.52,63.54,74.61, , 
2019-06-12 16:00:00,89.68,59.89,73.94, , 
2019-06-12 16:15:00,90.53,57.63,73.58, , 
2019-06-12 16:30:00,89.29,58.81,73.03, , 
2019-06-12 16:45:00,89.29,59.34,73.30, , 
2019-06-12 17:00:00,88.44,61.77,73.70, , 
2019-06-12 17:15:00,86.67,63.60,72.89, , 
2019-06-12 17:30:00,85.43,65.49,72.59, , 
2019-06-12 17:45:00,84.43,68.08,72.79, , 
2019-06-12 18:00:00,83.42,70.23,72.75, , 
2019-06-12 18:15:00,82.65,71.62,72.60, , 
2019-06-12 18:30:00,82.27,72.51,72.59, , 
2019-06-12 18:45:00,81.96,72.60,72.33, , 
2019-06-12 19:00:00,81.34,73.81,72.23, , 
2019-06-12 19:15:00,81.03,73.95,71.99, , 
2019-06-12 19:30:00,80.80,75.36,72.32, , 
2019-06-12 19:45:00,80.72,76.76,72.79, , 
2019-06-12 20:00:00,80.72,75.33,72.24, , 
2019-06-12 20:15:00,80.80,75.71,72.46, , 
2019-06-12 20:30:00,80.64,76.09,72.46, , 
2019-06-12 20:45:00,80.18,78.90,73.09, , 
2019-06-12 21:00:00,79.64,80.16,73.03, , 
2019-06-12 21:15:00,79.79,78.46,72.55, , 
2019-06-12 21:30:00,79.79,77.97,72.36, , 
2019-06-12 21:45:00,79.87,77.54,72.27, , 
2019-06-12 22:00:00,79.95,76.15,71.81, , 
2019-06-12 22:15:00,79.95,77.54,72.35, , 
2019-06-12 22:30:00,79.87,78.46,72.62, , 
2019-06-12 22:45:00,80.03,77.94,72.58, , 
2019-06-12 23:00:00,80.10,77.02,72.30, , 
2019-06-12 23:15:00,80.18,76.52,72.18, , 
2019-06-12 23:30:00,80.10,76.61,72.14, , 
2019-06-12 23:45:00,80.10,78.44,72.84, , 
2019-06-13 00:00:00,80.18,78.09,72.78, , 
2019-06-13 00:15:00,80.10,77.97,72.66, , 
2019-06-13 00:30:00,79.95,77.48,72.32, , 
2019-06-13 00:45:00,79.87,77.89,72.40, , 
2019-06-13 01:00:00,79.87,78.00,72.45, , 
2019-06-13 01:15:00,79.87,78.35,72.58, , 
2019-06-13 01:30:00,79.87,77.42,72.23, , 
2019-06-13 01:45:00,79.95,76.61,71.99, , 
2019-06-13 02:00:00,79.79,76.64,71.85, , 
2019-06-13 02:15:00,79.72,76.52,71.73, , 
2019-06-13 02:30:00,79.72,76.99,71.91, , 
2019-06-13 02:45:00,79.64,76.47,71.63, , 
2019-06-13 03:00:00,79.49,77.42,71.85, , 
2019-06-13 03:15:00,79.64,77.92,72.19, , 
2019-06-13 03:30:00,79.64,79.87,72.93, , 
2019-06-13 03:45:00,79.18,79.30,72.26, , 
2019-06-13 04:00:00,79.41,78.35,72.13, , 
2019-06-13 04:15:00,79.41,76.96,71.60, , 
2019-06-13 04:30:00,79.41,78.00,72.00, , 
2019-06-13 04:45:00,79.49,78.29,72.18, , 
2019-06-13 05:00:00,79.41,77.89,71.95, , 
2019-06-13 05:15:00,79.41,77.48,71.80, , 
2019-06-13 05:30:00,79.33,78.81,72.23, , 
2019-06-13 05:45:00,79.56,78.03,72.16, , 
2019-06-13 06:00:00,79.64,76.06,71.48, , 
2019-06-13 06:15:00,79.87,76.67,71.94, , 
2019-06-13 06:30:00,80.49,75.68,72.15, , 
2019-06-13 06:45:00,81.42,73.04,71.99, , 
2019-06-13 07:00:00,82.73,70.29,72.11, , 
2019-06-13 07:15:00,83.35,69.39,72.32, , 
2019-06-13 07:30:00,83.96,70.44,73.36, , 
2019-06-13 07:45:00,85.97,65.27,73.01, , 
2019-06-13 08:00:00,86.90,63.63,73.13, , 
2019-06-13 08:15:00,86.74,64.85,73.54, , 
2019-06-13 08:30:00,88.21,62.75,73.95, , 
2019-06-13 08:45:00,90.22,59.15,74.07, , 
2019-06-13 09:00:00,90.14,58.63,73.73, , 
2019-06-13 09:15:00,91.61,57.26,74.40, , 
2019-06-13 09:30:00,91.07,57.94,74.25, , 
2019-06-13 09:45:00,90.61,58.41,74.05, , 
2019-06-13 10:00:00,90.99,57.67,74.03, , 
2019-06-13 10:15:00,93.15,54.29,74.24, , 
2019-06-13 10:30:00,94.78,53.60,75.35, , 
2019-06-13 10:45:00,96.09,50.08,74.52, , 
2019-06-13 11:00:00,93.85,54.07,74.76, , 
2019-06-13 11:15:00,95.39,52.15,75.09, , 
2019-06-13 11:30:00,96.09,50.88,74.99, , 
2019-06-13 11:45:00,96.09,50.34,74.67, , 
2019-06-13 12:00:00,96.71,50.15,75.13, , 
2019-06-13 12:15:00,96.78,49.29,74.68, , 
2019-06-13 12:30:00,96.63,50.91,75.51, , 
2019-06-13 12:45:00,97.25,50.62,75.91, , 
2019-06-13 13:00:00,96.94,49.64,75.03, , 
2019-06-13 13:15:00,96.17,50.08,74.59, , 
2019-06-13 13:30:00,96.32,49.76,74.54, , 
2019-06-13 13:45:00,95.93,50.59,74.68, , 
2019-06-13 14:00:00,96.71,49.80,74.92, , 
2019-06-13 14:15:00,95.16,51.32,74.40, , 
2019-06-13 14:30:00,95.62,50.53,74.36, , 
2019-06-13 14:45:00,95.08,51.51,74.44, , 
2019-06-13 15:00:00,95.01,51.26,74.23, , 
2019-06-13 15:15:00,95.32,51.29,74.53, , 
2019-06-13 15:30:00,93.46,53.25,73.94, , 
2019-06-13 15:45:00,92.23,55.23,73.89, , 
2019-06-13 16:00:00,90.99,57.17,73.77, , 
2019-06-13 16:15:00,91.84,55.95,73.92, , 
2019-06-13 16:30:00,88.83,59.80,73.09, , 
2019-06-13 16:45:00,88.13,59.74,72.41, , 
2019-06-13 17:00:00,87.59,60.45,72.25, , 
2019-06-13 17:15:00,85.74,62.78,71.63, , 
2019-06-13 17:30:00,85.28,63.97,71.75, , 
2019-06-13 17:45:00,84.58,65.40,71.74, , 
2019-06-13 18:00:00,84.43,66.84,72.25, , 
2019-06-13 18:15:00,83.66,67.84,71.95, , 
2019-06-13 18:30:00,83.04,66.97,70.98, , 
2019-06-13 18:45:00,82.42,68.14,70.90, , 
2019-06-13 19:00:00,82.34,68.83,71.12, , 
2019-06-13 19:15:00,82.03,68.29,70.60, , 
2019-06-13 19:30:00,81.88,69.06,70.78, , 
2019-06-13 19:45:00,81.88,71.50,71.81, , 
2019-06-13 20:00:00,81.80,71.59,71.77, , 
2019-06-13 20:15:00,81.65,68.71,70.41, , 
2019-06-13 20:30:00,81.57,70.02,70.89, , 
2019-06-13 20:45:00,81.42,70.02,70.74, , 
2019-06-13 21:00:00,81.26,70.11,70.63, , 
2019-06-13 21:15:00,81.18,71.12,70.98, , 
2019-06-13 21:30:00,81.18,71.45,71.12, , 
2019-06-13 21:45:00,81.03,70.11,70.41, , 
2019-06-13 22:00:00,80.88,72.80,71.38, , 
2019-06-13 22:15:00,80.88,72.48,71.24, , 
2019-06-13 22:30:00,81.03,73.45,71.79, , 
2019-06-13 22:45:00,80.88,72.83,71.39, , 
2019-06-13 23:00:00,80.80,73.45,71.56, , 
2019-06-13 23:15:00,80.64,73.86,71.58, , 
2019-06-13 23:30:00,80.57,73.69,71.43, , 
2019-06-13 23:45:00,80.64,74.22,71.72, , 
2019-06-14 00:00:00,80.64,74.22,71.72, , 
2019-06-14 00:15:00,80.49,74.19,71.56, , 
2019-06-14 00:30:00,80.57,74.28,71.67, , 
2019-06-14 00:45:00,80.34,74.66,71.60, , 
2019-06-14 01:00:00,80.26,75.71,71.94, , 
2019-06-14 01:15:00,80.18,74.63,71.44, , 
2019-06-14 01:30:00,80.18,75.09,71.62, , 
2019-06-14 01:45:00,80.18,75.27,71.69, , 
2019-06-14 02:00:00,80.10,74.28,71.22, , 
2019-06-14 02:15:00,80.10,75.21,71.59, , 
2019-06-14 02:30:00,80.18,75.15,71.64, , 
2019-06-14 02:45:00,80.18,73.83,71.12, , 
2019-06-14 03:00:00,80.03,75.21,71.52, , 
2019-06-14 03:15:00,79.87,75.65,71.54, , 
2019-06-14 03:30:00,79.87,76.12,71.72, , 
2019-06-14 03:45:00,79.95,76.09,71.79, , 
2019-06-14 04:00:00,80.03,75.56,71.66, , 
2019-06-14 04:15:00,80.03,76.09,71.86, , 
2019-06-14 04:30:00,80.03,75.62,71.68, , 
2019-06-14 04:45:00,79.95,76.03,71.76, , 
2019-06-14 05:00:00,79.79,75.71,71.49, , 
2019-06-14 05:15:00,79.95,76.49,71.94, , 
2019-06-14 05:30:00,79.87,76.58,71.90, , 
2019-06-14 05:45:00,80.03,76.55,72.04, , 
2019-06-14 06:00:00,80.10,76.96,72.27, , 
2019-06-14 06:15:00,80.18,77.05,72.38, , 
2019-06-14 06:30:00,80.57,75.80,72.27, , 
2019-06-14 06:45:00,81.65,73.81,72.52, , 
2019-06-14 07:00:00,82.88,72.51,73.19, , 
2019-06-14 07:15:00,83.27,72.30,73.47, , 
2019-06-14 07:30:00,84.27,71.30,74.02, , 
2019-06-14 07:45:00,85.97,68.50,74.44, , 
2019-06-14 08:00:00,86.90,67.09,74.70, , 
2019-06-14 08:15:00,87.90,64.73,74.58, , 
2019-06-14 08:30:00,89.06,62.08,74.43, , 
2019-06-14 08:45:00,90.99,59.49,74.96, , 
2019-06-14 09:00:00,89.37,63.60,75.45, , 
2019-06-14 09:15:00,87.90,64.97,74.70, , 
2019-06-14 09:30:00,82.81,75.56,74.34, , 
2019-06-14 09:45:00,82.65,76.38,74.51, , 
2019-06-14 10:00:00,87.05,69.57,75.94, , 
2019-06-14 10:15:00,89.52,64.88,76.19, , 
2019-06-14 10:30:00,88.44,64.76,75.11, , 
2019-06-14 10:45:00,86.98,69.09,75.66, , 
2019-06-14 11:00:00,85.51,70.88,75.03, , 
2019-06-14 11:15:00,87.83,64.70,74.50, , 
2019-06-14 11:30:00,89.52,65.85,76.64, , 
2019-06-14 11:45:00,91.22,60.51,75.69, , 
2019-06-14 12:00:00,89.37,61.62,74.49, , 
2019-06-14 12:15:00,88.37,63.51,74.45, , 
2019-06-14 12:30:00,88.44,63.79,74.66, , 
2019-06-14 12:45:00,90.14,61.68,75.25, , 
2019-06-14 13:00:00,90.99,58.19,74.30, , 
2019-06-14 13:15:00,92.46,59.06,76.12, , 
2019-06-14 13:30:00,93.85,56.64,76.15, , 
2019-06-14 13:45:00,89.52,63.12,75.36, , 
2019-06-14 14:00:00,88.98,64.33,75.42, , 
2019-06-14 14:15:00,91.15,60.02,75.37, , 
2019-06-14 14:30:00,92.46,57.82,75.48, , 
2019-06-14 14:45:00,91.76,58.29,75.07, , 
2019-06-14 15:00:00,88.29,63.76,74.50, , 
2019-06-14 15:15:00,87.36,64.91,74.16, , 
2019-06-14 15:30:00,89.68,64.15,76.00, , 
2019-06-14 15:45:00,88.83,64.55,75.38, , 
2019-06-14 16:00:00,90.91,60.23,75.26, , 
2019-06-14 16:15:00,88.91,64.82,75.58, , 
2019-06-14 16:30:00,87.21,67.12,75.01, , 
2019-06-14 16:45:00,86.28,66.78,73.98, , 
2019-06-14 17:00:00,85.82,67.24,73.74, , 
2019-06-14 17:15:00,86.13,67.03,73.94, , 
2019-06-14 17:30:00,85.66,68.56,74.17, , 
2019-06-14 17:45:00,84.20,70.82,73.74, , 
2019-06-14 18:00:00,83.35,72.66,73.69, , 
2019-06-14 18:15:00,82.88,71.65,72.83, , 
2019-06-14 18:30:00,82.42,73.54,73.16, , 
2019-06-14 18:45:00,81.96,75.47,73.49, , 
2019-06-14 19:00:00,81.49,75.88,73.20, , 
2019-06-14 19:15:00,81.18,75.21,72.64, , 
2019-06-14 19:30:00,80.88,75.71,72.53, , 
2019-06-14 19:45:00,80.80,76.64,72.82, , 
2019-06-14 20:00:00,80.95,77.25,73.21, , 
2019-06-14 20:15:00,81.03,78.06,73.59, , 
2019-06-14 20:30:00,81.11,78.15,73.70, , 
2019-06-14 20:45:00,81.11,77.08,73.29, , 
2019-06-14 21:00:00,81.11,75.74,72.77, , 
2019-06-14 21:15:00,81.03,76.20,72.88, , 
2019-06-14 21:30:00,81.03,76.79,73.10, , 
2019-06-14 21:45:00,81.03,78.00,73.57, , 
2019-06-14 22:00:00,80.88,78.00,73.42, , 
2019-06-14 22:15:00,80.80,79.39,73.87, , 
2019-06-14 22:30:00,81.03,79.42,74.11, , 
2019-06-14 22:45:00,80.64,79.47,73.75, , 
2019-06-14 23:00:00,80.57,78.61,73.35, , 
2019-06-14 23:15:00,80.72,78.61,73.50, , 
2019-06-14 23:30:00,80.64,78.03,73.21, , 
2019-06-14 23:45:00,80.72,79.07,73.68, , 
2019-06-15 00:00:00,80.72,78.90,73.61, , 
2019-06-15 00:15:00,79.87,81.16,73.63, , 
2019-06-15 00:30:00,78.56,84.17,73.43, , 
2019-06-15 00:45:00,78.33,83.69,73.04, , 
2019-06-15 01:00:00,77.86,85.58,73.24, , 
2019-06-15 01:15:00,77.40,86.87,73.23, , 
2019-06-15 01:30:00,77.48,88.57,73.89, , 
2019-06-15 01:45:00,78.33,85.64,73.72, , 
2019-06-15 02:00:00,78.71,84.34,73.64, , 
2019-06-15 02:15:00,79.10,83.83,73.84, , 
2019-06-15 02:30:00,79.25,83.35,73.82, , 
2019-06-15 02:45:00,79.33,83.86,74.08, , 
2019-06-15 03:00:00,79.49,82.47,73.73, , 
2019-06-15 03:15:00,79.49,82.62,73.78, , 
2019-06-15 03:30:00,79.64,80.22,73.06, , 
2019-06-15 03:45:00,79.25,83.35,73.82, , 
2019-06-15 04:00:00,79.02,83.44,73.62, , 
2019-06-15 04:15:00,79.02,82.10,73.14, , 
2019-06-15 04:30:00,79.25,81.16,73.03, , 
2019-06-15 04:45:00,79.25,80.59,72.82, , 
2019-06-15 05:00:00,79.25,81.68,73.22, , 
2019-06-15 05:15:00,79.41,81.71,73.38, , 
2019-06-15 05:30:00,79.56,83.04,74.01, , 
2019-06-15 05:45:00,79.02,85.13,74.22, , 
2019-06-15 06:00:00,79.10,84.29,74.00, , 
2019-06-15 06:15:00,79.56,82.13,73.68, , 
2019-06-15 06:30:00,80.26,79.96,73.56, , 
2019-06-15 06:45:00,80.95,80.45,74.42, , 
2019-06-15 07:00:00,81.88,79.16,74.84, , 
2019-06-15 07:15:00,83.66,75.65,75.20, , 
2019-06-15 07:30:00,84.20,73.78,74.97, , 
2019-06-15 07:45:00,85.05,72.78,75.37, , 
2019-06-15 08:00:00,85.43,72.04,75.44, , 
2019-06-15 08:15:00,87.29,69.21,76.01, , 
2019-06-15 08:30:00,88.13,67.45,76.04, , 
2019-06-15 08:45:00,87.90,67.18,75.70, , 
2019-06-15 09:00:00,88.98,66.78,76.55, , 
2019-06-15 09:15:00,89.29,66.09,76.53, , 
2019-06-15 09:30:00,89.06,66.30,76.40, , 
2019-06-15 09:45:00,89.60,65.37,76.49, , 
2019-06-15 10:00:00,93.08,58.35,76.33, , 
2019-06-15 10:15:00,93.23,59.65,77.14, , 
2019-06-15 10:30:00,91.84,60.33,76.18, , 
2019-06-15 10:45:00,94.85,56.48,77.00, , 
2019-06-15 11:00:00,94.31,56.42,76.47, , 
2019-06-15 11:15:00,92.92,58.63,76.33, , 
2019-06-15 11:30:00,90.37,62.20,75.72, , 
2019-06-15 11:45:00,93.77,58.69,77.15, , 
2019-06-15 12:00:00,94.85,55.73,76.60, , 
2019-06-15 12:15:00,95.70,55.01,76.99, , 
2019-06-15 12:30:00,95.47,54.45,76.47, , 
2019-06-15 12:45:00,96.40,50.91,75.30, , 
2019-06-15 13:00:00,96.40,52.18,76.04, , 
2019-06-15 13:15:00,95.24,54.42,76.23, , 
2019-06-15 13:30:00,97.17,51.23,76.19, , 
2019-06-15 13:45:00,96.32,52.18,75.97, , 
2019-06-15 14:00:00,92.77,55.54,74.56, , 
2019-06-15 14:15:00,90.91,58.97,74.63, , 
2019-06-15 14:30:00,90.22,59.65,74.32, , 
2019-06-15 14:45:00,89.14,62.11,74.51, , 
2019-06-15 15:00:00,91.84,58.26,75.13, , 
2019-06-15 15:15:00,93.93,55.86,75.81, , 
2019-06-15 15:30:00,94.08,55.39,75.69, , 
2019-06-15 15:45:00,93.46,56.08,75.49, , 
2019-06-15 16:00:00,92.54,58.32,75.81, , 
2019-06-15 16:15:00,92.38,58.07,75.54, , 
2019-06-15 16:30:00,90.84,59.22,74.68, , 
2019-06-15 16:45:00,90.84,60.73,75.44, , 
2019-06-15 17:00:00,89.76,61.65,74.87, , 
2019-06-15 17:15:00,88.52,63.30,74.50, , 
2019-06-15 17:30:00,87.29,65.15,74.19, , 
2019-06-15 17:45:00,86.28,66.30,73.76, , 
2019-06-15 18:00:00,85.74,67.66,73.85, , 
2019-06-15 18:15:00,85.20,69.01,73.93, , 
2019-06-15 18:30:00,84.66,69.42,73.59, , 
2019-06-15 18:45:00,84.20,70.38,73.56, , 
2019-06-15 19:00:00,83.89,70.29,73.22, , 
2019-06-15 19:15:00,83.50,71.71,73.45, , 
2019-06-15 19:30:00,83.27,71.68,73.21, , 
2019-06-15 19:45:00,82.88,73.13,73.44, , 
2019-06-15 20:00:00,82.96,72.69,73.33, , 
2019-06-15 20:15:00,83.12,72.24,73.30, , 
2019-06-15 20:30:00,83.04,72.66,73.39, , 
2019-06-15 20:45:00,83.12,72.69,73.48, , 
2019-06-15 21:00:00,83.04,73.07,73.56, , 
2019-06-15 21:15:00,82.96,75.94,74.64, , 
2019-06-15 21:30:00,82.73,75.09,74.08, , 
2019-06-15 21:45:00,82.88,74.04,73.81, , 
2019-06-15 22:00:00,82.88,74.07,73.82, , 
2019-06-15 22:15:00,82.65,75.01,73.97, , 
2019-06-15 22:30:00,81.42,78.18,74.01, , 
2019-06-15 22:45:00,80.57,80.33,74.00, , 
2019-06-15 23:00:00,80.41,80.36,73.86, , 
2019-06-15 23:15:00,80.34,81.28,74.12, , 
2019-06-15 23:30:00,80.95,79.50,74.07, , 
2019-06-15 23:45:00,81.11,78.67,73.90, , 
2019-06-16 00:00:00,81.11,78.95,74.01, , 
2019-06-16 00:15:00,81.18,78.49,73.91, , 
2019-06-16 00:30:00,81.03,79.53,74.15, , 
2019-06-16 00:45:00,80.80,79.96,74.09, , 
2019-06-16 01:00:00,81.03,80.79,74.62, , 
2019-06-16 01:15:00,80.95,81.88,74.95, , 
2019-06-16 01:30:00,80.88,81.82,74.85, , 
2019-06-16 01:45:00,80.72,81.79,74.69, , 
2019-06-16 02:00:00,80.34,83.98,75.10, , 
2019-06-16 02:15:00,80.26,84.43,75.19, , 
2019-06-16 02:30:00,80.26,84.40,75.18, , 
2019-06-16 02:45:00,80.18,83.61,74.82, , 
2019-06-16 03:00:00,79.95,83.92,74.70, , 
2019-06-16 03:15:00,80.03,84.96,75.15, , 
2019-06-16 03:30:00,80.10,83.13,74.57, , 
2019-06-16 03:45:00,79.87,84.93,74.99, , 
2019-06-16 04:00:00,80.03,83.47,74.62, , 
2019-06-16 04:15:00,80.18,81.79,74.16, , 
2019-06-16 04:30:00,80.10,83.16,74.58, , 
2019-06-16 04:45:00,79.64,81.13,73.39, , 
2019-06-16 05:00:00,78.87,80.53,72.42, , 
2019-06-16 05:15:00,78.56,82.84,72.96, , 
2019-06-16 05:30:00,78.79,83.78,73.52, , 
2019-06-16 05:45:00,79.10,84.40,74.04, , 
2019-06-16 06:00:00,79.64,84.79,74.71, , 
2019-06-16 06:15:00,80.41,82.27,74.56, , 
2019-06-16 06:30:00,81.49,80.05,74.80, , 
2019-06-16 06:45:00,82.27,78.61,75.00, , 
2019-06-16 07:00:00,83.35,75.91,75.00, , 
2019-06-16 07:15:00,83.89,75.62,75.41, , 
2019-06-16 07:30:00,85.51,72.92,75.88, , 
2019-06-16 07:45:00,86.36,71.53,76.12, , 
2019-06-16 08:00:00,86.74,70.73,76.15, , 
2019-06-16 08:15:00,87.21,69.72,76.16, , 
2019-06-16 08:30:00,87.05,70.20,76.21, , 
2019-06-16 08:45:00,86.74,72.10,76.72, , 
2019-06-16 09:00:00,89.91,66.63,77.36, , 
2019-06-16 09:15:00,92.92,62.44,78.24, , 
2019-06-16 09:30:00,92.07,62.87,77.65, , 
2019-06-16 09:45:00,92.07,64.12,78.24, , 
2019-06-16 10:00:00,91.69,62.08,76.90, , 
2019-06-16 10:15:00,93.08,61.68,78.01, , 
2019-06-16 10:30:00,90.30,67.18,77.98, , 
2019-06-16 10:45:00,92.61,62.90,78.17, , 
2019-06-16 11:00:00,95.32,59.06,78.79, , 
2019-06-16 11:15:00,97.79,56.95,79.98, , 
2019-06-16 11:30:00,99.41,53.44,79.54, , 
2019-06-16 11:45:00,99.10,52.65,78.80, , 
2019-06-16 12:00:00,96.78,54.54,77.73, , 
2019-06-16 12:15:00,96.09,55.54,77.64, , 
2019-06-16 12:30:00,98.56,52.87,78.43, , 
2019-06-16 12:45:00,100.03,51.96,79.24, , 
2019-06-16 13:00:00,100.80,51.73,79.82, , 
2019-06-16 13:15:00,99.49,50.53,77.90, , 
2019-06-16 13:30:00,97.86,54.10,78.49, , 
2019-06-16 13:45:00,99.41,51.89,78.64, , 
2019-06-16 14:00:00,96.47,54.54,77.45, , 
2019-06-16 14:15:00,98.17,51.54,77.30, , 
2019-06-16 14:30:00,100.64,48.74,77.87, , 
2019-06-16 14:45:00,98.79,50.81,77.43, , 
2019-06-16 15:00:00,98.17,52.56,77.89, , 
2019-06-16 15:15:00,98.40,51.29,77.36, , 
2019-06-16 15:30:00,96.40,53.22,76.63, , 
2019-06-16 15:45:00,95.55,54.20,76.40, , 
2019-06-16 16:00:00,93.54,57.17,76.14, , 
2019-06-16 16:15:00,92.46,58.81,75.99, , 
2019-06-16 16:30:00,90.45,62.20,75.79, , 
2019-06-16 16:45:00,89.29,63.85,75.49, , 
2019-06-16 17:00:00,88.68,64.30,75.12, , 
2019-06-16 17:15:00,87.75,66.18,75.10, , 
2019-06-16 17:30:00,87.36,66.39,74.83, , 
2019-06-16 17:45:00,86.67,67.30,74.58, , 
2019-06-16 18:00:00,86.13,68.68,74.67, , 
2019-06-16 18:15:00,85.66,67.66,73.78, , 
2019-06-16 18:30:00,85.05,69.48,73.99, , 
