Serial Number:20485855 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","Button Down","EOF"
2019-06-12 18:00:00,28.57,70.23,22.64, , , 
2019-06-12 18:15:00,28.14,71.62,22.55, , , 
2019-06-12 18:30:00,27.93,72.51,22.55, , , 
2019-06-12 18:45:00,27.75,72.60,22.41, , , 
2019-06-12 19:00:00,27.41,73.81,22.35, , , 
2019-06-12 19:15:00,27.24,73.95,22.22, , , 
2019-06-12 19:30:00,27.11,75.36,22.40, , , 
2019-06-12 19:45:00,27.07,76.76,22.66, , , 
2019-06-12 20:00:00,27.07,75.33,22.35, , , 
2019-06-12 20:15:00,27.11,75.71,22.48, , , 
2019-06-12 20:30:00,27.02,76.09,22.48, , , 
2019-06-12 20:45:00,26.77,78.90,22.83, , , 
2019-06-12 21:00:00,26.47,80.16,22.80, , , 
2019-06-12 21:15:00,26.55,78.46,22.53, , , 
2019-06-12 21:30:00,26.55,77.97,22.42, , , 
2019-06-12 21:45:00,26.60,77.54,22.37, , , 
2019-06-12 22:00:00,26.64,76.15,22.12, , , 
2019-06-12 22:15:00,26.64,77.54,22.41, , , 
2019-06-12 22:30:00,26.60,78.46,22.57, , , 
2019-06-12 22:45:00,26.68,77.94,22.54, , , 
2019-06-12 23:00:00,26.72,77.02,22.39, , , 
2019-06-12 23:15:00,26.77,76.52,22.32, , , 
2019-06-12 23:30:00,26.72,76.61,22.30, , , 
2019-06-12 23:45:00,26.72,78.44,22.69, , , 
2019-06-13 00:00:00,26.77,78.09,22.66, , , 
2019-06-13 00:15:00,26.72,77.97,22.59, , , 
2019-06-13 00:30:00,26.64,77.48,22.40, , , 
2019-06-13 00:45:00,26.60,77.89,22.45, , , 
2019-06-13 01:00:00,26.60,78.00,22.47, , , 
2019-06-13 01:15:00,26.60,78.35,22.54, , , 
2019-06-13 01:30:00,26.60,77.42,22.35, , , 
2019-06-13 01:45:00,26.64,76.61,22.22, , , 
2019-06-13 02:00:00,26.55,76.64,22.14, , , 
2019-06-13 02:15:00,26.51,76.52,22.07, , , 
2019-06-13 02:30:00,26.51,76.99,22.17, , , 
2019-06-13 02:45:00,26.47,76.47,22.02, , , 
2019-06-13 03:00:00,26.38,77.42,22.14, , , 
2019-06-13 03:15:00,26.47,77.92,22.33, , , 
2019-06-13 03:30:00,26.47,79.87,22.74, , , 
2019-06-13 03:45:00,26.21,79.30,22.37, , , 
2019-06-13 04:00:00,26.34,78.35,22.29, , , 
2019-06-13 04:15:00,26.34,76.96,22.00, , , 
2019-06-13 04:30:00,26.34,78.00,22.22, , , 
2019-06-13 04:45:00,26.38,78.29,22.32, , , 
2019-06-13 05:00:00,26.34,77.89,22.20, , , 
2019-06-13 05:15:00,26.34,77.48,22.11, , , 
2019-06-13 05:30:00,26.30,78.81,22.35, , , 
2019-06-13 05:45:00,26.42,78.03,22.31, , , 
2019-06-13 06:00:00,26.47,76.06,21.93, , , 
2019-06-13 06:15:00,26.60,76.67,22.19, , , 
2019-06-13 06:30:00,26.94,75.68,22.31, , , 
2019-06-13 06:45:00,27.45,73.04,22.22, , , 
2019-06-13 07:00:00,28.18,70.29,22.28, , , 
2019-06-13 07:15:00,28.53,69.39,22.40, , , 
2019-06-13 07:30:00,28.87,70.44,22.98, , , 
2019-06-13 07:45:00,29.98,65.27,22.78, , , 
2019-06-13 08:00:00,30.50,63.63,22.85, , , 
2019-06-13 08:15:00,30.41,64.85,23.08, , , 
2019-06-13 08:30:00,31.23,62.75,23.30, , , 
2019-06-13 08:45:00,32.34,59.15,23.37, , , 
2019-06-13 09:00:00,32.30,58.63,23.18, , , 
2019-06-13 09:15:00,33.12,57.26,23.55, , , 
2019-06-13 09:30:00,32.82,57.94,23.47, , , 
2019-06-13 09:45:00,32.56,58.41,23.36, , , 
2019-06-13 10:00:00,32.77,57.67,23.35, , , 
2019-06-13 10:15:00,33.97,54.29,23.46, , , 
2019-06-13 10:30:00,34.88,53.60,24.08, , , 
2019-06-13 10:45:00,35.60,50.08,23.62, , , 
2019-06-13 11:00:00,34.36,54.07,23.75, , , 
2019-06-13 11:15:00,35.22,52.15,23.94, , , 
2019-06-13 11:30:00,35.60,50.88,23.89, , , 
2019-06-13 11:45:00,35.60,50.34,23.71, , , 
2019-06-13 12:00:00,35.95,50.15,23.96, , , 
2019-06-13 12:15:00,35.99,49.29,23.71, , , 
2019-06-13 12:30:00,35.90,50.91,24.17, , , 
2019-06-13 12:45:00,36.25,50.62,24.39, , , 
2019-06-13 13:00:00,36.08,49.64,23.91, , , 
2019-06-13 13:15:00,35.65,50.08,23.66, , , 
2019-06-13 13:30:00,35.73,49.76,23.64, , , 
2019-06-13 13:45:00,35.52,50.59,23.71, , , 
2019-06-13 14:00:00,35.95,49.80,23.84, , , 
2019-06-13 14:15:00,35.09,51.32,23.56, , , 
2019-06-13 14:30:00,35.35,50.53,23.53, , , 
2019-06-13 14:45:00,35.05,51.51,23.58, , , 
2019-06-13 15:00:00,35.00,51.26,23.46, , , 
2019-06-13 15:15:00,35.18,51.29,23.63, , , 
2019-06-13 15:30:00,34.15,53.25,23.30, , , 
2019-06-13 15:45:00,33.46,55.23,23.27, , , 
2019-06-13 16:00:00,32.77,57.17,23.21, , , 
2019-06-13 16:15:00,33.25,55.95,23.29, , , 
2019-06-13 16:30:00,31.57,59.80,22.83, , , 
2019-06-13 16:45:00,31.19,59.74,22.45, , , 
2019-06-13 17:00:00,30.89,60.45,22.36, , , 
2019-06-13 17:15:00,29.86,62.78,22.02, , , 
2019-06-13 17:30:00,29.60,63.97,22.08, , , 
2019-06-13 17:45:00,29.21,65.40,22.08, , , 
2019-06-13 18:00:00,29.13,66.84,22.36, , , 
2019-06-13 18:15:00,28.70,67.84,22.19, , , 
2019-06-13 18:30:00,28.35,66.97,21.65, , , 
2019-06-13 18:45:00,28.01,68.14,21.61, , , 
2019-06-13 19:00:00,27.97,68.83,21.73, , , 
2019-06-13 19:15:00,27.80,68.29,21.44, , , 
2019-06-13 19:30:00,27.71,69.06,21.55, , , 
2019-06-13 19:45:00,27.71,71.50,22.12, , , 
2019-06-13 20:00:00,27.67,71.59,22.09, , , 
2019-06-13 20:15:00,27.58,68.71,21.34, , , 
2019-06-13 20:30:00,27.54,70.02,21.61, , , 
2019-06-13 20:45:00,27.45,70.02,21.52, , , 
2019-06-13 21:00:00,27.37,70.11,21.46, , , 
2019-06-13 21:15:00,27.32,71.12,21.66, , , 
2019-06-13 21:30:00,27.32,71.45,21.73, , , 
2019-06-13 21:45:00,27.24,70.11,21.34, , , 
2019-06-13 22:00:00,27.15,72.80,21.88, , , 
2019-06-13 22:15:00,27.15,72.48,21.80, , , 
2019-06-13 22:30:00,27.24,73.45,22.10, , , 
2019-06-13 22:45:00,27.15,72.83,21.88, , , 
2019-06-13 23:00:00,27.11,73.45,21.98, , , 
2019-06-13 23:15:00,27.02,73.86,21.99, , , 
2019-06-13 23:30:00,26.98,73.69,21.91, , , 
2019-06-13 23:45:00,27.02,74.22,22.07, , , 
2019-06-14 00:00:00,27.02,74.22,22.07, , , 
2019-06-14 00:15:00,26.94,74.19,21.98, , , 
2019-06-14 00:30:00,26.98,74.28,22.04, , , 
2019-06-14 00:45:00,26.85,74.66,22.00, , , 
2019-06-14 01:00:00,26.81,75.71,22.19, , , 
2019-06-14 01:15:00,26.77,74.63,21.91, , , 
2019-06-14 01:30:00,26.77,75.09,22.01, , , 
2019-06-14 01:45:00,26.77,75.27,22.05, , , 
2019-06-14 02:00:00,26.72,74.28,21.79, , , 
2019-06-14 02:15:00,26.72,75.21,22.00, , , 
2019-06-14 02:30:00,26.77,75.15,22.02, , , 
2019-06-14 02:45:00,26.77,73.83,21.73, , , 
2019-06-14 03:00:00,26.68,75.21,21.95, , , 
2019-06-14 03:15:00,26.60,75.65,21.97, , , 
2019-06-14 03:30:00,26.60,76.12,22.07, , , 
2019-06-14 03:45:00,26.64,76.09,22.10, , , 
2019-06-14 04:00:00,26.68,75.56,22.03, , , 
2019-06-14 04:15:00,26.68,76.09,22.14, , , 
2019-06-14 04:30:00,26.68,75.62,22.04, , , 
2019-06-14 04:45:00,26.64,76.03,22.09, , , 
2019-06-14 05:00:00,26.55,75.71,21.94, , , 
2019-06-14 05:15:00,26.64,76.49,22.19, , , 
2019-06-14 05:30:00,26.60,76.58,22.17, , , 
2019-06-14 05:45:00,26.68,76.55,22.25, , , 
2019-06-14 06:00:00,26.72,76.96,22.37, , , 
2019-06-14 06:15:00,26.77,77.05,22.43, , , 
2019-06-14 06:30:00,26.98,75.80,22.37, , , 
2019-06-14 06:45:00,27.58,73.81,22.51, , , 
2019-06-14 07:00:00,28.27,72.51,22.88, , , 
2019-06-14 07:15:00,28.48,72.30,23.04, , , 
2019-06-14 07:30:00,29.04,71.30,23.34, , , 
2019-06-14 07:45:00,29.98,68.50,23.58, , , 
2019-06-14 08:00:00,30.50,67.09,23.72, , , 
2019-06-14 08:15:00,31.06,64.73,23.66, , , 
2019-06-14 08:30:00,31.70,62.08,23.57, , , 
2019-06-14 08:45:00,32.77,59.49,23.87, , , 
2019-06-14 09:00:00,31.87,63.60,24.14, , , 
2019-06-14 09:15:00,31.06,64.97,23.72, , , 
2019-06-14 09:30:00,28.23,75.56,23.52, , , 
2019-06-14 09:45:00,28.14,76.38,23.62, , , 
2019-06-14 10:00:00,30.59,69.57,24.41, , , 
2019-06-14 10:15:00,31.96,64.88,24.55, , , 
2019-06-14 10:30:00,31.36,64.76,23.95, , , 
2019-06-14 10:45:00,30.54,69.09,24.26, , , 
2019-06-14 11:00:00,29.73,70.88,23.90, , , 
2019-06-14 11:15:00,31.01,64.70,23.61, , , 
2019-06-14 11:30:00,31.96,65.85,24.80, , , 
2019-06-14 11:45:00,32.90,60.51,24.27, , , 
2019-06-14 12:00:00,31.87,61.62,23.61, , , 
2019-06-14 12:15:00,31.31,63.51,23.59, , , 
2019-06-14 12:30:00,31.36,63.79,23.70, , , 
2019-06-14 12:45:00,32.30,61.68,24.03, , , 
2019-06-14 13:00:00,32.77,58.19,23.50, , , 
2019-06-14 13:15:00,33.59,59.06,24.51, , , 
2019-06-14 13:30:00,34.36,56.64,24.53, , , 
2019-06-14 13:45:00,31.96,63.12,24.09, , , 
2019-06-14 14:00:00,31.66,64.33,24.12, , , 
2019-06-14 14:15:00,32.86,60.02,24.10, , , 
2019-06-14 14:30:00,33.59,57.82,24.16, , , 
2019-06-14 14:45:00,33.20,58.29,23.93, , , 
2019-06-14 15:00:00,31.27,63.76,23.61, , , 
2019-06-14 15:15:00,30.76,64.91,23.42, , , 
2019-06-14 15:30:00,32.04,64.15,24.44, , , 
2019-06-14 15:45:00,31.57,64.55,24.10, , , 
2019-06-14 16:00:00,32.73,60.23,24.04, , , 
2019-06-14 16:15:00,31.61,64.82,24.21, , , 
2019-06-14 16:30:00,30.67,67.12,23.89, , , 
2019-06-14 16:45:00,30.16,66.78,23.32, , , 
2019-06-14 17:00:00,29.90,67.24,23.19, , , 
2019-06-14 17:15:00,30.07,67.03,23.30, , , 
2019-06-14 17:30:00,29.81,68.56,23.43, , , 
2019-06-14 17:45:00,29.00,70.82,23.19, , , 
2019-06-14 18:00:00,28.53,72.66,23.16, , , 
2019-06-14 18:15:00,28.27,71.65,22.68, , , 
2019-06-14 18:30:00,28.01,73.54,22.87, , , 
2019-06-14 18:45:00,27.75,75.47,23.05, , , 
2019-06-14 19:00:00,27.50,75.88,22.89, , , 
2019-06-14 19:15:00,27.32,75.21,22.58, , , 
2019-06-14 19:30:00,27.15,75.71,22.52, , , 
2019-06-14 19:45:00,27.11,76.64,22.68, , , 
2019-06-14 20:00:00,27.20,77.25,22.89, , , 
2019-06-14 20:15:00,27.24,78.06,23.11, , , 
2019-06-14 20:30:00,27.28,78.15,23.17, , , 
2019-06-14 20:45:00,27.28,77.08,22.94, , , 
2019-06-14 21:00:00,27.28,75.74,22.65, , , 
2019-06-14 21:15:00,27.24,76.20,22.71, , , 
2019-06-14 21:30:00,27.24,76.79,22.84, , , 
2019-06-14 21:45:00,27.24,78.00,23.10, , , 
2019-06-14 22:00:00,27.15,78.00,23.01, , , 
2019-06-14 22:15:00,27.11,79.39,23.26, , , 
2019-06-14 22:30:00,27.24,79.42,23.39, , , 
2019-06-14 22:45:00,27.02,79.47,23.20, , , 
2019-06-14 23:00:00,26.98,78.61,22.97, , , 
2019-06-14 23:15:00,27.07,78.61,23.06, , , 
2019-06-14 23:30:00,27.02,78.03,22.89, , , 
2019-06-14 23:45:00,27.07,79.07,23.15, , , 
2019-06-15 00:00:00,27.07,78.90,23.12, , , 
2019-06-15 00:15:00,26.60,81.16,23.13, , , 
2019-06-15 00:30:00,25.87,84.17,23.02, , , 
2019-06-15 00:45:00,25.74,83.69,22.80, , , 
2019-06-15 01:00:00,25.48,85.58,22.91, , , 
2019-06-15 01:15:00,25.22,86.87,22.91, , , 
2019-06-15 01:30:00,25.27,88.57,23.27, , , 
2019-06-15 01:45:00,25.74,85.64,23.18, , , 
2019-06-15 02:00:00,25.95,84.34,23.14, , , 
2019-06-15 02:15:00,26.17,83.83,23.25, , , 
2019-06-15 02:30:00,26.25,83.35,23.23, , , 
2019-06-15 02:45:00,26.30,83.86,23.38, , , 
2019-06-15 03:00:00,26.38,82.47,23.18, , , 
2019-06-15 03:15:00,26.38,82.62,23.21, , , 
2019-06-15 03:30:00,26.47,80.22,22.81, , , 
2019-06-15 03:45:00,26.25,83.35,23.23, , , 
2019-06-15 04:00:00,26.12,83.44,23.12, , , 
2019-06-15 04:15:00,26.12,82.10,22.86, , , 
2019-06-15 04:30:00,26.25,81.16,22.79, , , 
2019-06-15 04:45:00,26.25,80.59,22.68, , , 
2019-06-15 05:00:00,26.25,81.68,22.90, , , 
2019-06-15 05:15:00,26.34,81.71,22.99, , , 
2019-06-15 05:30:00,26.42,83.04,23.34, , , 
2019-06-15 05:45:00,26.12,85.13,23.46, , , 
2019-06-15 06:00:00,26.17,84.29,23.33, , , 
2019-06-15 06:15:00,26.42,82.13,23.16, , , 
2019-06-15 06:30:00,26.81,79.96,23.09, , , 
2019-06-15 06:45:00,27.20,80.45,23.57, , , 
2019-06-15 07:00:00,27.71,79.16,23.80, , , 
2019-06-15 07:15:00,28.70,75.65,24.00, , , 
2019-06-15 07:30:00,29.00,73.78,23.87, , , 
2019-06-15 07:45:00,29.47,72.78,24.10, , , 
2019-06-15 08:00:00,29.68,72.04,24.13, , , 
2019-06-15 08:15:00,30.71,69.21,24.45, , , 
2019-06-15 08:30:00,31.19,67.45,24.47, , , 
2019-06-15 08:45:00,31.06,67.18,24.28, , , 
2019-06-15 09:00:00,31.66,66.78,24.75, , , 
2019-06-15 09:15:00,31.83,66.09,24.74, , , 
2019-06-15 09:30:00,31.70,66.30,24.67, , , 
2019-06-15 09:45:00,32.00,65.37,24.72, , , 
2019-06-15 10:00:00,33.93,58.35,24.63, , , 
2019-06-15 10:15:00,34.02,59.65,25.08, , , 
2019-06-15 10:30:00,33.25,60.33,24.54, , , 
2019-06-15 10:45:00,34.92,56.48,25.00, , , 
2019-06-15 11:00:00,34.62,56.42,24.70, , , 
2019-06-15 11:15:00,33.85,58.63,24.63, , , 
2019-06-15 11:30:00,32.43,62.20,24.29, , , 
2019-06-15 11:45:00,34.32,58.69,25.09, , , 
2019-06-15 12:00:00,34.92,55.73,24.78, , , 
2019-06-15 12:15:00,35.39,55.01,25.00, , , 
2019-06-15 12:30:00,35.26,54.45,24.70, , , 
2019-06-15 12:45:00,35.78,50.91,24.05, , , 
2019-06-15 13:00:00,35.78,52.18,24.46, , , 
2019-06-15 13:15:00,35.13,54.42,24.57, , , 
2019-06-15 13:30:00,36.21,51.23,24.55, , , 
2019-06-15 13:45:00,35.73,52.18,24.43, , , 
2019-06-15 14:00:00,33.76,55.54,23.65, , , 
2019-06-15 14:15:00,32.73,58.97,23.68, , , 
2019-06-15 14:30:00,32.34,59.65,23.51, , , 
2019-06-15 14:45:00,31.74,62.11,23.62, , , 
2019-06-15 15:00:00,33.25,58.26,23.96, , , 
2019-06-15 15:15:00,34.40,55.86,24.34, , , 
2019-06-15 15:30:00,34.49,55.39,24.27, , , 
2019-06-15 15:45:00,34.15,56.08,24.16, , , 
2019-06-15 16:00:00,33.63,58.32,24.34, , , 
2019-06-15 16:15:00,33.55,58.07,24.19, , , 
2019-06-15 16:30:00,32.69,59.22,23.71, , , 
2019-06-15 16:45:00,32.69,60.73,24.13, , , 
2019-06-15 17:00:00,32.09,61.65,23.82, , , 
2019-06-15 17:15:00,31.40,63.30,23.61, , , 
2019-06-15 17:30:00,30.71,65.15,23.44, , , 
2019-06-15 17:45:00,30.16,66.30,23.20, , , 
2019-06-15 18:00:00,29.86,67.66,23.25, , , 
2019-06-15 18:15:00,29.56,69.01,23.29, , , 
2019-06-15 18:30:00,29.26,69.42,23.11, , , 
2019-06-15 18:45:00,29.00,70.38,23.09, , , 
2019-06-15 19:00:00,28.83,70.29,22.90, , , 
2019-06-15 19:15:00,28.61,71.71,23.03, , , 
2019-06-15 19:30:00,28.48,71.68,22.90, , , 
2019-06-15 19:45:00,28.27,73.13,23.02, , , 
2019-06-15 20:00:00,28.31,72.69,22.96, , , 
2019-06-15 20:15:00,28.40,72.24,22.94, , , 
2019-06-15 20:30:00,28.35,72.66,23.00, , , 
2019-06-15 20:45:00,28.40,72.69,23.05, , , 
2019-06-15 21:00:00,28.35,73.07,23.09, , , 
2019-06-15 21:15:00,28.31,75.94,23.69, , , 
2019-06-15 21:30:00,28.18,75.09,23.38, , , 
2019-06-15 21:45:00,28.27,74.04,23.23, , , 
2019-06-15 22:00:00,28.27,74.07,23.23, , , 
2019-06-15 22:15:00,28.14,75.01,23.32, , , 
2019-06-15 22:30:00,27.45,78.18,23.34, , , 
2019-06-15 22:45:00,26.98,80.33,23.33, , , 
2019-06-15 23:00:00,26.90,80.36,23.26, , , 
2019-06-15 23:15:00,26.85,81.28,23.40, , , 
2019-06-15 23:30:00,27.20,79.50,23.37, , , 
2019-06-15 23:45:00,27.28,78.67,23.28, , , 
2019-06-16 00:00:00,27.28,78.95,23.34, , , 
2019-06-16 00:15:00,27.32,78.49,23.28, , , 
2019-06-16 00:30:00,27.24,79.53,23.42, , , 
2019-06-16 00:45:00,27.11,79.96,23.38, , , 
2019-06-16 01:00:00,27.24,80.79,23.68, , , 
2019-06-16 01:15:00,27.20,81.88,23.86, , , 
2019-06-16 01:30:00,27.15,81.82,23.81, , , 
2019-06-16 01:45:00,27.07,81.79,23.72, , , 
2019-06-16 02:00:00,26.85,83.98,23.95, , , 
2019-06-16 02:15:00,26.81,84.43,23.99, , , 
2019-06-16 02:30:00,26.81,84.40,23.99, , , 
2019-06-16 02:45:00,26.77,83.61,23.79, , , 
2019-06-16 03:00:00,26.64,83.92,23.72, , , 
2019-06-16 03:15:00,26.68,84.96,23.97, , , 
2019-06-16 03:30:00,26.72,83.13,23.65, , , 
2019-06-16 03:45:00,26.60,84.93,23.88, , , 
2019-06-16 04:00:00,26.68,83.47,23.68, , , 
2019-06-16 04:15:00,26.77,81.79,23.42, , , 
2019-06-16 04:30:00,26.72,83.16,23.66, , , 
2019-06-16 04:45:00,26.47,81.13,23.00, , , 
2019-06-16 05:00:00,26.04,80.53,22.46, , , 
2019-06-16 05:15:00,25.87,82.84,22.75, , , 
2019-06-16 05:30:00,25.99,83.78,23.07, , , 
2019-06-16 05:45:00,26.17,84.40,23.36, , , 
2019-06-16 06:00:00,26.47,84.79,23.73, , , 
2019-06-16 06:15:00,26.90,82.27,23.65, , , 
2019-06-16 06:30:00,27.50,80.05,23.78, , , 
2019-06-16 06:45:00,27.93,78.61,23.89, , , 
2019-06-16 07:00:00,28.53,75.91,23.89, , , 
2019-06-16 07:15:00,28.83,75.62,24.12, , , 
2019-06-16 07:30:00,29.73,72.92,24.38, , , 
2019-06-16 07:45:00,30.20,71.53,24.51, , , 
2019-06-16 08:00:00,30.41,70.73,24.53, , , 
2019-06-16 08:15:00,30.67,69.72,24.53, , , 
2019-06-16 08:30:00,30.59,70.20,24.56, , , 
2019-06-16 08:45:00,30.41,72.10,24.85, , , 
2019-06-16 09:00:00,32.17,66.63,25.20, , , 
2019-06-16 09:15:00,33.85,62.44,25.69, , , 
2019-06-16 09:30:00,33.37,62.87,25.36, , , 
2019-06-16 09:45:00,33.37,64.12,25.69, , , 
2019-06-16 10:00:00,33.16,62.08,24.94, , , 
2019-06-16 10:15:00,33.93,61.68,25.56, , , 
2019-06-16 10:30:00,32.39,67.18,25.54, , , 
2019-06-16 10:45:00,33.67,62.90,25.65, , , 
2019-06-16 11:00:00,35.18,59.06,25.99, , , 
2019-06-16 11:15:00,36.55,56.95,26.66, , , 
2019-06-16 11:30:00,37.45,53.44,26.41, , , 
2019-06-16 11:45:00,37.28,52.65,26.00, , , 
2019-06-16 12:00:00,35.99,54.54,25.41, , , 
2019-06-16 12:15:00,35.60,55.54,25.36, , , 
2019-06-16 12:30:00,36.98,52.87,25.79, , , 
2019-06-16 12:45:00,37.79,51.96,26.25, , , 
2019-06-16 13:00:00,38.22,51.73,26.57, , , 
2019-06-16 13:15:00,37.49,50.53,25.50, , , 
2019-06-16 13:30:00,36.59,54.10,25.83, , , 
2019-06-16 13:45:00,37.45,51.89,25.91, , , 
2019-06-16 14:00:00,35.82,54.54,25.25, , , 
2019-06-16 14:15:00,36.76,51.54,25.17, , , 
